ref	label	line_no	speaker	pattern	matched_en	en	zh
# game/script.rpy:138256	click_map199_16_EV016_07d34e77	62378	char_howl	clean slate	clean slate	After the battle ends, the flame dwindles, and turns to ash.\nA clean slate for the victor — that is what this symbolizes.	se/a00335.ogg
# game/script.rpy:138723	map212_417a804e	62620	char_howl	come to light	come to light	Because you may follow after them without even knowing it.\nFor now, that is all we have to say. There are no other concerns.\nNext time we talk, perhaps more will have come to light. At least, we hope.	se/y01476.ogg
# game/script.rpy:139397	map200_8bdc05e0	62968	char_pro	stand a chance	stand a chance	We wouldn't stand a chance if we attacked Balteus on our own.\nAn alliance is necessary, and this is the best way we can get it.\nOne life — taken here today — is worth it, to change all of Alestia.	se/z01924.ogg
# game/script.rpy:140440	map214_9719a272	63363	char_pro	see eye to eye	see eye to eye	I knew we'd be able to push through this.\nThe fact that you sided with Draycu convinced me.\nEven in all the confusion, we still see eye to eye.	我就知道我们能挺过这一关。\n你站在德雷库那边这件事让我确信了。\n即便在一切混乱之中，我们依然心意相通。
# game/script.rpy:141040	map203_500e2ae9	63649	char_jit_map203_1_0_195	got one's back	got your back	So, it's finally going to happen.\nI've been dreaming about this day for a long time.\nDo your best out there, Monarch. I've got your back.	那么，终于要开始了。\n我梦想这一天已经很久了。\n在外面尽力而为吧，君主。我会罩着你的。
# game/script.rpy:141053	map203_c3b7547e	63656	char_jit_map203_1_0_195	lean on	lean on	Of course, I {i}have{/i} heard rumors about that blade you're carrying.\nSo if you don't mind — I might choose to lean on you for support, too.\nIf we all take care of each other, then we'll be unstoppable for sure.	se/z01951.ogg
# game/script.rpy:142249	map217_4119c447	64165	Narration	up in the air	up in the air	Gripping the blade tightly, I try and figure out how to “activate” it.{w}\nAs if sensing my instinct, the gear on the base starts to spin fervently.{w}\nI raise it up in the air, and demand that the blade assist us in battle.	我紧紧握住剑刃，试图弄明白该如何“激活”它。{w}\n仿佛感应到我的意念，剑柄底部的齿轮开始疯狂转动。{w}\n我将它高举空中，命令剑刃在战斗中助我们一臂之力。
# game/script.rpy:144297	map220_a6baad4a	65060	char_fortaime	have one's back	have my back	Come on, [firstname].\nYou have my back in this, right?\nWhat happened was {i}way{/i} out of line.	se/z02033.ogg
# game/script.rpy:144337	map220_a4d8ca0b	65092	char_fortaime	on the same page	on the same page	Good. Then that means we're on the same page.\nIt's just so hard because of how close we are.	se/z02036b.ogg
# game/script.rpy:146729	map223_3834232a	66155	Narration	stand a chance	stand a chance	With everything we just gained? We actually stand a chance at winning this war...	有了我们刚刚得到的一切？我们真的有机会赢得这场战争了……
# game/script.rpy:147884	map224_f2825e5b	66627	Narration	red herring	red herring	If I ever got the chance to talk to The Triumvirate, I'd ask them.{w}\nBut something tells me, if we're face to face, it won't be civil.{w}\nAnd for all I know, it's just a trick. The idol could be a red herring.	要是我有机会跟三人执政团谈谈，我会问问他们。{w}\n但直觉告诉我，真到了面对面的时候，可不会是什么文明的对话。{w}\n而且说不定这根本就是个圈套。那座灵像也许只是障眼法。
# game/script.rpy:148709	map225_6ca0f110	67000	char_pro	hands down	Hands down	Look — I made up for what I did...!\nAll those lives we lost? We got them back, and more!\nOur Alarinthian allies will help us win this war. Hands down.	se/z02177.ogg
# game/script.rpy:155017	map168_b57785d6	69845	char_halin	have one's back	have your back	Through no fault of our own, remember?\nI have your back in this. I won't tell them the truth.\nHowever, I need to ask for {i}one{/i} thing in exchange.	那不是我们的错，记得吗？\n这件事我支持你。我不会告诉他们真相。\n不过，作为交换，我要求{i}一{/i}件事。
# game/script.rpy:156430	Fortaime1_map162_5_0_c1f7ce4e	70272	char_fortaime	on the spot	on the spot	Whoa, putting me on the spot, huh?\nI guess I'd probably side with Vivien.\nUlric hates this place, and I can see why.	se/y01147.ogg
# game/script.rpy:158275	Valessa1_map164_138_0_6ee5058d	70888	char_valessa	hands down	hands down	Vivien, hands down. I don't like the way Alarinthia is run.\nRelying on strength alone creates such a toxic atmosphere.\nAnyone with a brilliant mind would simply be pushed aside.	se/y01305.ogg
# game/script.rpy:160111	map076_9ff13a6b	71557	char_jit_map076_1_0_93	got one's back	got your back	Special, huh...?\nWell, that's all you had to say.\nYou know I've got your back in {i}everything{/i}.	特别，是吧……？\n嗯，你早这么说不就行了。\n你知道{i}任何事{/i}我都挺你。
# game/script.rpy:161241	Valessa1_map110_1_0_3129f6fe	71964	char_pro	on the spot	on the spot	Whoa, you sure like putting me on the spot.\nI think you're cool? I mean, from what I've seen.\nAt first, I didn't really have a clue. But it's better now.	se/y00853.ogg
# game/script.rpy:164603	map114_61a83f17	73489	char_jit_map114_1_0_11	call the shots	call the shots	Destiny...?\nI'm not sure I buy into that stuff.\nI'd rather call the shots myself, you know.	宿命……？\n我不太信这套。\n我更愿意自己做主，你知道的。
# game/script.rpy:165639	map173_62f08ca3	74069	Narration	breath of fresh air	a breath of fresh air	He puts the climbing gear back in the bag, clearly excited.{w}\nIt's a breath of fresh air to hear him talk about this stuff so passionately.{w}\nEverybody else is so concerned about the war. It's nice to just push that aside.	他把攀爬装备放回包里，显然很兴奋。{w}\n听他这么充满热情地聊这些，真是耳目一新。{w}\n其他人都那么担心战争。能把这些搁到一边真好。
# game/script.rpy:165639	map173_62f08ca3	74069	Narration	in the bag	in the bag	He puts the climbing gear back in the bag, clearly excited.{w}\nIt's a breath of fresh air to hear him talk about this stuff so passionately.{w}\nEverybody else is so concerned about the war. It's nice to just push that aside.	他把攀爬装备放回包里，显然很兴奋。{w}\n听他这么充满热情地聊这些，真是耳目一新。{w}\n其他人都那么担心战争。能把这些搁到一边真好。
# game/script.rpy:170673	click_map012_9_EV009_d11a38d8	76690	char_jit_map008_1_0_111	you name it	you name it	Imagine if food was scarce.\nThere'd be a lot more people breaking the law.\nStealing it, hurting others for it, you name it.	se/w00053.ogg
# game/script.rpy:171630	map027_7195cb06	77009	char_halin	in the dark	in the dark	I guess you're right.\nBut I don't like being left in the dark.	你说得大概没错。\n但我不喜欢被蒙在鼓里。
# game/script.rpy:172557	click_map014_7_EV007_6a7d4f31	77281	char_valessa	throw in the towel	throw in the towel	Even with a head start, you're no match for me.\nTime to throw in the towel. Stick to climbing trees.	就算抢跑，你也不是我的对手。\n认输吧。还是专心爬树去吧。
# game/script.rpy:174051	map022_48233380	78109	Narration	on the same page	on the same page	I feel like, even though we barely talked, we're on the same page.{w}\nHe seems to know why we're here, where we're going, and what we need to do.{w}\nThat makes things a bit easier. Endless planning would be tedious.	我觉得，尽管我们几乎没说过话，却很有默契。{w}\n他似乎知道我们为什么来、要去哪里、需要做什么。{w}\n这让事情简单了些。无休止的盘算会很乏味。
# game/script.rpy:174612	click_map015_37_EV037_2321e564	78267	Narration	in the dark	in the dark	I'm assuming in the dark, this helps people find Peregrino.{w}\nHowever, right now, it seems to serve no real purpose.{w}\nTo come here during the day, you'd have to know exactly where it was.	我猜在黑暗中，这东西能帮人找到佩雷格里诺。{w}\n不过眼下，它似乎没什么实际用处。{w}\n白天来这里，你得确切知道它在哪儿才行。
# game/script.rpy:177381	map023_8f6d25f4	79835	Narration	on the spot	on the spot	Talk about putting me on the spot. I hope this isn't a frequent event.{w}\nI don't feel like this is my choice, but due to current circumstances — it is.{w}\nMylus resigned as The Elder, leaving me in charge until I elect a replacement.	真是把我架到火上烤。希望这不是常有的事。{w}\n我不觉得这是该由我做的选择，但眼下的情况——确实如此。{w}\n迈勒斯辞去了长老之位，在我选出继任者之前，由我掌管。
# game/script.rpy:179903	click_map016_8_EV008_b0010c84	80955	char_pro	stand a chance	stand a chance	Good. We can't have any moles.\nThe Rebellion, as it is — currently hangs on threads.\nIt's only thanks to that anomalous blade that we stand a chance.	很好。我们不能有内鬼。\n反抗军如今——已是岌岌可危。\n全靠那把异常的剑我们才有一线希望。
# game/script.rpy:180200	click_map016_9_EV009_b0010c84	81159	char_pro	stand a chance	stand a chance	Good. We can't have any moles.\nThe Rebellion, as it is — currently hangs on threads.\nIt's only thanks to that anomalous blade that we stand a chance.	很好。我们不能有内鬼。\n反抗军如今——已是岌岌可危。\n全靠那把异常的剑我们才有一线希望。
# game/script.rpy:181686	Pro6_map016_16_0_7aa57129	82228	char_pro	up in the air	up in the air	Maybe I'll find someone special, and bring them along.\nThis is all up in the air, of course. A lot could change.\nI probably shouldn't plan it out. I'll play it by ear.	se/y00607.ogg
# game/script.rpy:181686	Pro6_map016_16_0_7aa57129	82228	char_pro	play it by ear	play it by ear	Maybe I'll find someone special, and bring them along.\nThis is all up in the air, of course. A lot could change.\nI probably shouldn't plan it out. I'll play it by ear.	se/y00607.ogg
# game/script.rpy:183046	map024_8d39ea48	83249	Narration	on the spot	on the spot	I rub the fatigue out of my eyes and stare at them for a few moments.{w}\nIt seemed that lately, people had a tendency of putting me on the spot.{w}\nTheir intentions were pure, however. To stop me from being overwhelmed.	我揉了揉疲惫的眼睛，盯着他们看了一会儿。{w}\n最近似乎人人都倾向于把我推到风口浪尖。{w}\n不过他们的用意是好的。是为了不让我被压垮。
# game/script.rpy:184244	Choices_map024_1_0_c91832e2	83849	char_valessa	on the same page	on the same page	Yes! I knew we were on the same page!\nI can't thank you enough for this. Really.\nI was so scared that we'd lose Valinorth.	太好了！我就知道我们想法一致！\n真不知该怎么谢你。真的。\n我之前好怕我们会失去瓦利诺斯。
# game/script.rpy:184419	Choices_map024_1_0_7ab3a850	83936	char_valessa	get over it	get over it	I'm sure I'll get over it, but I'm getting mixed signals.\nEither way, I'm proud to lead Valinorth just as you left it.\nI won't undo your decision. I respect it — I'll make it work.	se/z00659.ogg
# game/script.rpy:184430	Choices_map024_1_0_ae522da2	83956	char_valessa	get over it	get over it	I'm sure I'll get over it, but I'm getting mixed signals.\nEither way, I'm proud to lead Valinorth just as you left it.\nI won't undo your decision. I respect it — I'll make it work.	se/z00661.ogg
# game/script.rpy:184482	Choices_map024_1_0_37d48a79	83993	char_fortaime	get over it	get over it	Well, it seems like we have our work cut out for us.\nI'm a little upset that you didn't pick me, but I'll get over it.\nAt the end of the day, I'm not just \"tagging along\" anymore.	嗯，看来我们有的是活要干。\n你没选我，我有点难过，但我会释怀的。\n说到底，我不再只是“跟着凑数”了。
# game/script.rpy:191483	Valessa3_map088_177_1_ce6db71a	86686	char_valessa	cold feet	cold feet	Isn't it a little late to be getting cold feet?\nWe've already been performing these duties forever.\nThis ceremony won't change much. It's just tradition.	se/y00206.ogg
# game/script.rpy:194043	map092_0b9c3246	87515	char_ulric	dead of night	dead of night	I expect it'll take me under a day.\nI'll arrive in the dead of night, or maybe early morning.\nSeeking out [firstname] will be the first thing I do.	我估计用不了一天。\n我会在深夜，或者清早到达。\n第一件事就是去找[firstname]。
# game/script.rpy:194052	map092_0b9c3246_1	87527	char_ulric	dead of night	dead of night	I expect it'll take me under a day.\nI'll arrive in the dead of night, or maybe early morning.\nSeeking out [firstname] will be the first thing I do.	我估计用不了一天。\n我会在深夜，或者清早到达。\n第一件事就是去找[firstname]。
# game/script.rpy:194081	map092_fd85f638	87539	char_damek	heads up	heads up	Fantastic, then things will go perfectly.\nMake sure to give the rest of the town a heads up.\nYou can all evacuate together. You'll blend right in.	太好了，那一切都会顺利。\n记得提前通知镇上的其他人。\n你们可以一起撤离。你会混在其中不显眼。
# game/script.rpy:194086	map092_6eece42b	87546	char_damek	stand a chance	stand a chance	But remember, you need to stop by Mylus' and grab the blade.\nOtherwise, The Triumvirate will seize it when they attack.\nIf I'm honest, I don't think we stand a chance without it.	se/x00007.ogg
# game/script.rpy:194463	map093_1439e54d	87705	char_the_triumvirate	in the dark	in the dark	We would never do such a thing.\nInformation is granted to you as we see fit.\nIf you are left in the dark, it is not permanent.	我们绝不会做那种事。\n情报何时给你们，由我们决定。\n就算你们暂时不知情，也不会是永久的。
# game/script.rpy:194614	map093_ba668e7a	87773	char_sovy	in the dark	in the dark	Yes, yes. My apologies.\nNobody likes being left in the dark.\nI will ensure my words sound less doubtful.	是，是。我道歉。\n没人喜欢被蒙在鼓里。\n我会注意，别让我的话听起来那么充满怀疑。
# game/script.rpy:203604	Valessa2_map095_147_0_d9b031c7	91140	char_valessa	have one's back	have your back	Sometimes there isn't, you know?\nYou can never change history from your comfort zone.\nIf it's true about you and the blade, I'll have your back.	se/y00227.ogg
# game/script.rpy:205011	map105_1e4a7d28	91701	char_shane	heads up	heads up	Right, of course. Thanks for the heads up.\nI'll remember that next time he tries interrogating me.\nIf I didn't know any better, I'd say you didn't like him.	对，当然。多谢提醒。\n下次他审我时我会记住这点。\n要不是我了解你，我会说你不太喜欢他。
# game/script.rpy:205725	strings	92437	Narration	under the table	under the table	{image=icons/651.png} \"I could offer you some under the table work.\"	{image=icons/651.png} “我可以给你介绍点私下里的活儿。”
# game/script.rpy:205725	strings	94409	Narration	play it by ear	play it by ear	{image=icons/580.png} \"I don't know. Let's play it by ear.\"	{image=icons/580.png} “我不知道。我们随机应变吧。”
# game/script.rpy:205725	strings	95173	Narration	play it by ear	play it by ear	{image=icons/580.png} \"I'll have to play it by ear, Fortaime.\"	{image=icons/580.png} “我得随机应变了，福泰姆。”
# game/script.rpy:205725	strings	95385	Narration	play it by ear	play it by ear	{image=icons/580.png} \"Let's play it by ear. We might not survive this.\"	{image=icons/580.png} “走一步看一步吧。我们可能撑不过这一关。”
# game/script.rpy:205725	strings	95437	Narration	piece of cake	piece of cake	{image=icons/656.png} \"Yeah, of course. It'll be a piece of cake.\"	{image=icons/656.png} “是啊，当然。小菜一碟。”
# game/script.rpy:205725	strings	95473	Narration	piece of cake	piece of cake	{image=icons/660.png} \"Yeah, it was a piece of cake.\"	{image=icons/660.png} “是啊，小菜一碟。”
