# dialogue chunk 0020  entries 7601-8000 of 10370
# seq	block	idx	speaker	source	target
7601	map223_e2c990ba	0	char_pro	After that, all we needed was {i}this{/i}.	在那之后，我们只需要{i}这个{/i}。
7709	map225_9a75d0de	0		I notice a weight lift itself from my back.{w}\nThe blade disappears from my scabbard. Sovy is doing it again...!{w}\nHowever, much to my surprise — that's not what happens next.	我感觉到一股压力从背上卸下。{w}\n刀刃从我的剑鞘里消失了。索维又要故技重施……！{w}\n然而，出乎我意料的是——接下来发生的并非如此。
7710	map225_cb4ad9e2	0		Ulric sighs, in both relief and fright, as the blade appears in his hands.{w}\nI take a few steps back, shocked. How in the world was this possible...!?	刀刃出现在乌尔里克手中，他松了口气，却又满怀惊惧。{w}\n我震惊地后退了几步。这到底怎么可能……！？
7711	map225_d232885e	0	char_ulric	Grand Inquisitor Ulric...\nThat was lifetimes ago. Ancient history.\nHe's using a dead past to try and hurt us, [firstname].	大审判官乌尔里克……\n那是好几辈子以前的事了。是古老的历史。\n他想用一个已死的过去来伤害我们，[firstname]。
7712	map225_48f7ae1c	0		Ulric was a Grand Inquisitor...?{w}\nThen he must be the defector that Sovy mentioned.{w}\nThe pieces of all of this are starting to fall into place!	乌尔里克曾是大审判官……？{w}\n那他一定就是索维提到的那个叛逃者。{w}\n这一切的拼图开始各归其位了！
7713	map225_75d5db4e	0	char_ulric	I realized that The Triumvirate was my true enemy.\nThat's when I decided to join The Rebellion.\nYou really thought this would work, Sovy...?	我意识到三人执政团才是我真正的敌人。\n那时我决定加入反抗军。\n你真以为这招会奏效吗，索维……？
7714	map225_f73fd33a	0	char_sovy	I never said I was intending to hurt you.\nThis is merely information that might help you in Balteus.\nUlric has inside knowledge, [firstname] — and he can wield the blade.	我从没说过我打算伤害你。\n这只是一条或许能在巴尔泰乌斯帮到你们的情报。\n乌尔里克掌握着内部情报，[firstname]——而且他能使用刀刃。
7715	map225_f8065df3	0	char_sovy	It's your choice if you let this information hurt you.\nBut in your situation, I would be relieved to know.\nNow, there's no need to keep anymore secrets.	是否让这条情报伤到你，取决于你。\n但换作是我处在你这种境地，知道这些反而会松一口气。\n现在，没必要再保留任何秘密了。
7716	map225_b91ce82f	0	char_ulric	Hmph.	哼。
7717	map225_7b4f45db	0		I'm so confused right now. Was Sovy helping us, or trying to hurt us?{w}\nI can see how he might think that Ulric's past would harm our trust.{w}\nBut I can also see how sharing this information would help us out.	我现在糊涂极了。索维是在帮我们，还是想害我们？{w}\n我能理解他为什么会觉得乌尔里克的过去会损害我们的信任。{w}\n但我也能看出，分享这条情报会帮到我们。
7718	map225_6210f7d7	0		Furthermore, the way Ulric handled this situation was extremely professional.{w}\nUnder any other circumstances, I might have taken this information badly.{w}\nBut he's right. It's in the past. He's gone on to prove his loyalty to me.	而且，乌尔里克处理这件事的方式极为专业。{w}\n换作其他任何情况，我可能会对这条情报反应激烈。{w}\n但他说得对。那都是过去的事了。他已经用行动证明了对我的忠诚。
7719	map225_00104fb5	0		The happenings in Alarinthia finally make full sense to me.{w}\nHe was securing my trust for when this secret came to light.{w}\nGenius, really. I'd have to deal with him more later on, though.	阿拉林西亚发生的一切终于让我完全明白了。{w}\n他是在为这个秘密曝光的那一天预先赢得我的信任。{w}\n真是天才。不过，我以后得跟他多打交道了。
7720	map225_d1a5d2b4	0		This conversation had potential to explode, and I'm glad that it didn't.{w}\nI know Ulric's real plan, but Pro still remains a wild card. What was he after...?{w}\nI turn to face him, and he takes that as a signal that it's his turn to talk.	这场谈话本有可能一触即发，幸好没有。{w}\n我明白了乌尔里克的真实打算，但普洛仍是个未知数。他想要什么……？{w}\n我转向他，他把这当作轮到他开口的信号。
7721	map225_c44c90ae	0		Ulric passes the blade back to me, and I place it in the scabbard.{w}\nPro looks worried. Perhaps his secret was worse than Ulric's...?	乌尔里克把刀刃递还给我，我将其插回剑鞘。{w}\n普洛看起来很担忧。也许他的秘密比乌尔里克的更糟糕……？
7722	map225_a9df88ce	0	char_sovy	Go on. Tell [firstname], Pro.\nIt's time for him to know, don't you think?	说吧。告诉[firstname]，普洛。\n是时候让他知道了，你不觉得吗？
7723	map225_14b95cd2	0	char_sovy	Go on. Tell [firstname], Pro.\nIt's time for her to know, don't you think?	说吧。告诉[firstname]，普洛。\n是时候让她知道了，你不觉得吗？
7724	map225_1d209fa3	0		He gulps before speaking.	他咽了口唾沫，才开口。
7725	map225_6b1fd1f8	0	char_pro	So I guess I'll start from the beginning. My parents abandoned me.\nThey didn't die in the occupation, like I tell everybody.\nI've always wanted to know one thing — \"why\"...?	那我就从头说起吧。我的父母抛弃了我。\n他们不像我跟所有人说的那样，死在占领时期。\n我一直想知道一件事——“为什么”……？
7726	map225_c444721f	0	char_pro	None of my searches gave me any useful information.\nSo, over time, I grew more and more desperate.\nOne day — The Triumvirate reached out to me.	我的所有搜寻都没能给我任何有用的信息。\n于是，随着时间推移，我变得越来越绝望。\n有一天——三人执政团主动联系了我。
7727	map225_ce160442	0		He looks down, ashamed.	他低下头，满脸羞愧。
7728	map225_596982b3	0	char_pro	They said they knew the truth about my parents.\nBut in exchange, they wanted me to give them information.\nDetails about The Rebellion. It seemed like a harmless exchange.	他们说他们知道我父母的事真相。\n但作为交换，他们要我把情报交给他们。\n关于反抗军的细节。这看起来像是一场无害的交易。
7729	map225_27737b48	0		Pro was the mole...	普洛就是那个内鬼……
7730	map225_3fcaeae7	0	char_pro	But over time, they started to ask for more and more.\nI gave them so many secrets, but got nothing in return.\nIt wasn't much longer before I quit. I had enough of their lies.	但时间一长，他们开始索取越来越多。\n我给了他们那么多秘密，却什么回报都没得到。\n没过多久我就退出了。我受够了他们的谎言。
7731	map225_2995c3cf	0	char_sovy	But the damage was already done, wasn't it...?	但伤害已经造成了，不是吗……？
7732	map225_87ad5295	0	char_pro	Yeah...	是啊……
7733	map225_44843c8b	0	char_sovy	What was the last thing you leaked to them, Pro?	你最后泄露给他们的是什么，普洛？
7734	map225_811fb628	0	char_pro	The location of our new HQ. The tunnels.\nIt was a good hideout. Right under their noses.\nThey'd never find it, unless somebody told them.	我们新总部的所在地。那些地道。\n那是个很好的藏身处。就在他们眼皮底下。\n除非有人告诉他们，否则他们永远找不到。
7735	map225_d748ea45	0		I'm shocked to my core.{w}\nIf Pro leaked our location, then that means...	我震惊到了骨子里。{w}\n如果普洛泄露了我们的位置，那就意味着……
7736	map225_e0d517b5	0	char_sovy	That's right. Pro is responsible.\nHis leak enabled us to attack you in Mazeo.\nAll of those lives. The blood is on {i}his{/i} hands.	没错。普洛难辞其咎。\n正是他的泄露让我们得以在马泽奥袭击你们。\n那些逝去的生命。血都沾在{i}他{/i}手上。
7737	map225_15421b22	0	char_pro	No...! Like I said, I quit!\nThey lied to me. They knew {i}nothing{/i} about my parents.\nAll they wanted was somebody gullible enough to serve them.	不……！我说过了，我退出了！\n他们骗了我。他们对我的父母{i}一无所知{/i}。\n他们只是想要一个足够轻信的人来替他们卖命。
7738	map225_96a6756b	0	char_sovy	It doesn't change what happened, Pro.\nNow, Monarch — how do you take this...?	这改变不了已经发生的事，普洛。\n那么，君主——你对此怎么看……？
7739	map225_13ba4204	0	char_pro	Hey, I proved my loyalty — just like Ulric!\nI put my life on the line to serve The Rebellion.\nThere was no guarantee we'd survive the coliseum!	嘿，我证明了我的忠诚——就像乌尔里克一样！\n我冒着生命危险为反抗军效力。\n我们在竞技场里可没有活下来的保证！
7740	map225_01c8c1de	0		That much was true. I knew everything was too good to be true.{w}\nThe {i}real{/i} reasons they did what they did, were all self-serving.{w}\nIt was so they could defend themselves as they were exposed.	这话没错。我早就知道一切都好得不像是真的。{w}\n他们那么做的{i}真正{/i}原因，全都是为了自己。{w}\n是为了在真相败露时能为自己辩解。
7741	map225_84bce8dd	0		With an ulterior motive like that, were they really trustworthy...?{w}\nUlric's past was easy to forgive. But what Pro did to all of us?{w}\nI have no idea how to react. Sovy was fighting a war on my mind.	怀着这样的私心，他们真的值得信赖吗……？{w}\n乌尔里克的过去容易原谅。可普洛对我们所有人做的事呢？{w}\n我完全不知道该如何反应。索维正在我的脑海中打一场仗。
7742	map225_6ca0f110	0	char_pro	Look — I made up for what I did...!\nAll those lives we lost? We got them back, and more!\nOur Alarinthian allies will help us win this war. Hands down.	听着——我已经弥补了我做过的事……！\n我们失去的那些生命？我们不仅夺回来了，还得到了更多！\n我们的阿拉林西亚盟友会帮我们赢得这场战争。毫无疑问。
7743	map225_dfc58a11	0		I nod, acknowledging his point.{w}\nBut I need more time to think about this.{w}\nIf they had secrets, did my other comrades, too?	我点点头，承认他说得有道理。{w}\n但我需要更多时间来考虑这件事。{w}\n如果他们都有秘密，那我其他的同伴是不是也一样？
7744	map225_28c6c14d	0		I'm starting to doubt the loyalty of everybody around me.{w}\nI need to stop...! That's probably what Sovy wants me to do.{w}\nI'd need to ensure everyone's loyalty before we leave to Balteus.	我开始怀疑身边每个人的忠诚。{w}\n我得停下……！这大概正是索维希望我做的。{w}\n在出发去巴尔泰乌斯之前，我得确保每个人的忠诚。
7745	map225_747f0fe5	0		Ulric was the previous Grand Inquisitor...?{w}\nPro was a mole, responsible for the attack in Mazeo...?{w}\nHow was I supposed to deal with this, {i}right{/i} before the final battle?	乌尔里克是前任大审判官……？{w}\n普洛是内鬼，该为马泽奥的袭击负责……？{w}\n就在决战{i}前夕{/i}，我该如何应对这一切？
7746	map225_a3fbde10	0		I ask Ulric and Pro to leave me alone with Sovy.{w}\nWe'd get some rest, and meet on the deck in the morning.{w}\nOne big gathering before we arrived in Mazeo would help.	我让乌尔里克和普洛留我和索维单独待着。{w}\n我们会稍作休息，明早在甲板上碰头。{w}\n在抵达马泽奥之前来一次大聚会会有帮助。
7747	map225_51e902a1	0		I can see the worry on their faces. I tell them I'm not \"throwing them away\".{w}\nAs they leave, the worry is still there, however. Their secrets were finally out.{w}\nI don't know if anybody else knew — but I guess I was enough. I'm in charge.	我能看到他们脸上的忧虑。我告诉他们，我不会“抛弃他们”。{w}\n然而，他们离开时，忧虑依旧还在。他们的秘密终究是暴露了。{w}\n我不知道还有没有别人知情——但我想，只有我知道就够了。做主的是我。
7748	map225_3924b39f	0		I turn back to Sovy, who crosses his arms.	我转回索维那边，他抱着双臂。
7749	map225_42cb8e27	0	char_sovy	So much dishonesty in the air, wouldn't you agree...?\nI want you to look at your comrades, and then look at me.\nUnlike them — I've been nothing but honest with you.	空气中弥漫着这么多谎言，你不觉得吗……？\n我要你看看你的同伴们，然后再看看我。\n和他们不同——我对你一直坦诚相待。
7750	map225_ccb383a9	0	char_sovy	I would rather have an honest enemy than a cheating friend.\nThat's part of why I wanted to talk with you, [firstname].\nI know that we can be open with one another.	我宁愿要一个诚实的敌人，也不要一个欺骗人的朋友。\n这也是我想跟你谈谈的原因之一，[firstname]。\n我知道我们之间可以开诚布公。
7751	map225_d96ae171	0		I shake my head, unsure of how to respond.{w}\nI tell him that I need some rest. Some time alone.{w}\nSo much was happening all at once. I needed a break.	我摇了摇头，不知该如何回应。{w}\n我告诉他我需要休息。需要独处一会儿。{w}\n太多事一下子全都涌来了。我需要喘口气。
7752	map225_e39119b3	0	char_sovy	Very well. We're meeting on the deck come morning, then?\nI'll make sure to be on my best behavior. I respect you, Monarch.\nI always told myself that I'd serve the rightful rulers of this world.	好吧。那我们明早在甲板上见？\n我保证会表现得规规矩矩。我敬重你，君主。\n我一直告诉自己，要效忠于这个世界正当的统治者。
7753	map225_41f32111	0	char_sovy	It just seems like I was also lied to by The Triumvirate.\nJust like Ulric. Just like Pro. We're victims here — all of us.\nI may have realized it late, but was it {i}too{/i} late? I guess we'll see.	看来三人执政团也骗了我。\n就像乌尔里克一样。就像普洛一样。我们都是受害者——我们所有人。\n我或许醒悟得太晚，但会不会{i}太{/i}晚了？我想我们走着瞧吧。
7754	map225_cdf1925d	0		His attitude seems to have changed now that we're alone.{w}\nAnd for the first time, I can sympathize with him. He's hurt, and lost.{w}\nJust like all of us. We're just trying to do what we believe is right.	既然只剩我们两个，他的态度似乎变了。{w}\n第一次，我对他生出了同情。他受了伤，也迷失了方向。{w}\n就像我们所有人一样。我们都只是在尽力做自己认为正确的事。
7755	map225_0cb93257	0		I tell him that he's free to join us at the meeting in the morning.{w}\nBut everybody will be told who he is. It'll be up to them to decide how they take it.{w}\nIf the majority of my comrades want him gone, then we'll have to part ways in Mazeo.	我告诉他，他可以自由参加明早的会议。{w}\n但所有人都会知道他是谁。要怎么接受，就由他们自己决定。{w}\n如果我的大多数同伴希望他离开，那我们只能在马泽奥分道扬镳。
7756	map225_83ac42c5	0	char_sovy	Very well. It's only fair.\nHave a good rest, Monarch.	好吧。这才公平。\n好好休息，君主。
7757	map225_603de056	0		He bows to me, as I turn to leave the cell.{w}\nI make sure it's locked tight. He'd be let out in the morning.{w}\nFor now, I needed to be alone with my thoughts. I needed to process everything.	我转身离开牢房时，他向我鞠了一躬。{w}\n我确认牢门锁得严严实实。明早会放他出来。{w}\n而现在，我需要独自理清思绪。我需要消化这一切。
7758	map226_223178bc	0		I make my way back to my bed, and quickly collapse onto it.{w}\nThe weight of recent events weighs me down like a ton of bricks.{w}\nAt the end of the day — I didn't know who I could really trust. It's awful.	我回到自己的床边，一下子瘫倒在上面。{w}\n近来发生的事像千斤重担一样压着我。{w}\n说到底——我根本不知道自己能真正信任谁。这感觉糟透了。
7759	map226_5d86b134	0		Ulric and Pro, two of our most trusted comrades, had dark secrets.{w}\nIt makes me wonder just what everyone else was hiding. Even Valessa and Fortaime.{w}\nWhen we got back to Mazeo, I'd need to ensure their loyalty before we attacked Balteus.	乌尔里克和普洛，我们最信任的两位同伴，竟藏着黑暗的秘密。{w}\n这让我不禁去想，其他所有人又隐藏着什么。连瓦莱莎和福泰姆也不例外。{w}\n等我们回到马泽奥，在进攻巴尔泰乌斯之前，我得确保他们的忠诚。
7760	map226_ebe0c4e7	0		We couldn't embark on the biggest part of our journey with unresolved issues.{w}\nEverybody needed to be in tip-top shape. Not held down by anything at all.{w}\nAs big as Ulric and Pro's secrets were, it's information we didn't have before.	我们不能带着未解的隐患踏上旅途最重要的征程。{w}\n每个人都需要处于最佳状态。不被任何事情拖累。{w}\n无论乌尔里克和普洛的秘密多么重大，那也是我们此前所没有的情报。
7761	map226_965f6649	0		Information we could use against our enemy, and against Balteus.{w}\nWe were too close to our goal to fall apart due to internal politics.{w}\nI drift off to sleep, and make my way to the deck in the morning.	可以用来对付我们的敌人、对付巴尔泰乌斯的情报。{w}\n我们离目标太近了，不能因为内部分歧而分崩离析。{w}\n我沉沉睡去，第二天早晨来到了甲板上。
7762	map226_90e6e53a	0		It was time for everybody to know about Sovy.{w}\nThen, we'd have a final discussion about what comes next.{w}\nWe were ready to launch our attack. But what should we do...?	是时候让所有人都知道索维的事了。{w}\n之后，我们会就下一步进行最后的讨论。{w}\n我们已经准备好发动进攻。但我们该怎么做呢……？
7763	map227_60a694f0	0		Everybody is standing there, as if they were waiting for me to arrive.{w}\nThey all exchange glances with Sovy, and unease fills the air.{w}\nI don't blame them for being reserved right now. Not at all.	所有人都站在那里，仿佛在等我到来。{w}\n他们纷纷与索维交换眼神，空气中弥漫着不安。{w}\n我不怪他们此刻的拘谨。一点也不。
7764	map227_feb10d69	0		They all turn to face me, so that's when I hand the floor to Sovy.{w}\nIf he wanted to help us out, he had to win over my entire crew.{w}\nThe choice was with me, but all of their input was important.	他们全都转向我，于是我把发言权交给了索维。{w}\n如果他想帮我们，就必须赢得我所有手下的认可。{w}\n决定权在我，但所有人的意见都很重要。
7765	map227_67b8a625	0		All of us gather around in a sort of \"circle\".{w}\nThis means he can easily address all of us.{w}\nI'm curious what he has to say. A lot is on the line.	我们所有人围成某种“圆圈”聚在一起。{w}\n这样他就能方便地对我们所有人讲话。{w}\n我很好奇他要说什么。事关重大。
7766	map227_49f7cd27	0	char_sovy	My name is Sovy. I am — or was — The Grand Inquisitor.\nI no longer serve The Triumvirate. I was betrayed by my Apprentice.\nHe sold me out, forcing my Masters to place me in exile. They threw me away.	我叫索维。我是——或者说曾是——大审判官。\n我不再效忠三人执政团了。我被我的学徒背叛了。\n他出卖了我，逼得我的主人把我流放。他们抛弃了我。
7767	map227_0e65950f	0	char_sovy	Everything they ever told me was a lie. I thought they were Alestia's rightful rulers.\nBut then I figured out that this wasn't true. The heir to the throne is [firstname].\nI am a victim of their tyranny. Just as you are. All of you. I hope you understand.	他们告诉我的一切都是谎言。我本以为他们是阿莱斯蒂亚正当的统治者。\n但后来我明白了，事实并非如此。王位的继承人是[firstname]。\n我是他们暴政的受害者。就像你们一样。你们所有人。希望你们能明白。
7768	map227_184baad2	0	char_sovy	I'm still at a loss. I don't really know what to do with myself.\nBut coming here, to meet with you, and [firstname], seemed like a good idea.\nLast night, I also revealed some information that could help your upcoming attack.	我仍茫然无措。我真不知道拿自己该怎么办。\n但来到这里，与你们和[firstname]见面，似乎是个好主意。\n昨晚，我还透露了一些能帮到你们即将到来的进攻的情报。
7769	map227_3305db3c	0	char_sovy	I just need to know that I {i}belong{/i} somewhere.\nAttacking The Triumvirate will involve taking down Halin.\nWe share a common purpose, at least until he's taken care of.	我只需要知道自己{i}属于{/i}某个地方。\n进攻三人执政团就意味着要扳倒哈林。\n我们有着共同的目标，至少在解决掉他之前是如此。
7770	map227_de8c6d22	0	char_sovy	After that? I really don't know.\nI've always pledged my loyalty to the rightful ruler of Alestia.\nLogic would dictate that I now serve The Monarch. But I don't know.	那之后呢？我真的不知道。\n我一直都向阿莱斯蒂亚正当的统治者宣誓效忠。\n照理说，我现在该效忠君主。但我不知道。
7771	map227_5eb6d943	0	char_sovy	The Triumvirate can throw people away at the snap of a finger.\nBut I'm not like that. What they did was hurt me almost beyond repair.\nI will help you attack Balteus, and take down Halin. You have my word.	三人执政团弹指之间就能抛弃一个人。\n但我不是那样的人。他们的所作所为几乎把我伤得无法复原。\n我会帮你们进攻巴尔泰乌斯，扳倒哈林。我向你们保证。
7772	map227_48b8c47a	0	char_sovy	But after that, I don't know what will happen.\nIn that sense, I am both an asset and a liability.\nIf you want me to leave — then that's what I'll do.	但那之后，我不知道会发生什么。\n从这个意义上说，我既是助力，也是隐患。\n如果你想让我离开——那我就离开。
7773	map227_6d9db470	0	char_sovy	When we get to Mazeo, you'll never see me again.\nThat is, unless, you want my help. I can offer valuable intel.\nIt's a gamble, for both you {i}and{/i} me. I don't fully trust you, either.	等我们到马泽奥，你们就再也见不到我了。\n除非你们想要我的帮助。我能提供有价值的情报。\n这是一场赌博，对你们{i}和{/i}我都是。我也不完全信任你们。
7774	map227_38e120be	0	char_sovy	But hopefully I've earned a sliver of trust with [firstname].\nIf he vouches for me, then hopfully you will as well. That is all.\nMy fate is in your hands. I have nothing more to say.	但希望我已经赢得了[firstname]的一丝信任。\n如果他为我担保，那希望你们也会。就这些。\n我的命运掌握在你们手中。我没有别的要说了。
7775	map227_9c0943bf	0	char_sovy	But hopefully I've earned a sliver of trust with [firstname].\nIf she vouches for me, then hopefully you will as well. That is all.\nMy fate is in your hands. I have nothing more to say.	但希望我已经赢得了[firstname]的一丝信任。\n如果她为我担保，那希望你们也会。就这些。\n我的命运掌握在你们手中。我没有别的要说了。
7776	map227_d51b42a7	0		He crosses his arms, waiting for our reply.{w}\nMy comrades are all shocked and confused, save for Pro and Ulric.{w}\nI ask them to step forward, one by one, and offer their thoughts on this.	他抱着双臂，等待我们的答复。{w}\n除了普洛和乌尔里克，我的同伴们都又惊又惑。{w}\n我让他们一个一个上前，说说自己的想法。
7777	map227_0c7a1416	0		For once, I have the grasp on an entire situation.{w}\nThis is how things should be. Like Sovy said, I was the rightful ruler.{w}\nI couldn't have people being dishonest, and plotting behind my back.	这一次，我终于掌控了整个局面。{w}\n事情本该如此。就像索维说的，我是正当的统治者。{w}\n我不能容忍有人不诚实，在背后算计我。
7778	map227_73ee6e00	0	char_damek	I honestly didn't expect this. But nothing has been normal lately.\nI'm willing to give Sovy a chance. I did the same thing with Gryz.\nHis defection marked a turning point for our cause. A big one.	老实说，我没想到会这样。但最近也没什么正常的。\n我愿意给索维一个机会。我当初对格瑞兹也是如此。\n他的倒戈是我们事业的转折点。很重要的一次转折。
7779	map227_695c3754	0	char_damek	If he can help us out, then I think we need to accept it.\nAnd if he turns against us, then he's easily outnumbered.\nThe potential benefits outweigh the potential risks.	如果他能帮到我们，那我觉得我们就该接受。\n而如果他背叛我们，他在人数上轻易就能被压制。\n潜在的收益大于潜在的风险。
7780	map227_a205498f	0	char_howl	This is clearly a trap. We request that you deny his assistance.\nHe's alone now, but he won't be when we arrive in Balteus.\nIf we give him information, he'll turn on us once we get there.	这显然是个陷阱。我们请求你拒绝他的协助。\n他现在孤身一人，但等我们到巴尔泰乌斯时就不是了。\n如果我们把情报给他，一到那里他就会反咬我们一口。
7781	map227_581be448	0	char_howl	Surely we aren't the only one who thinks this way...?\nAn alliance with our enemy mere days before our attack?\nIt's too convenient. Sovy is playing us for a fool.	我们肯定不是唯一这么想的吧……？\n在进攻前几天与敌人结盟？\n太巧了。索维是在把我们当傻子耍。
7782	map227_aa01d9e6	0	char_valessa	I'm with Howl on this one. We can't work with the enemy.\nThis is the man that killed you, and burned down Valinorth in your vision.\nI know it was a trick, but the man is the same. He's a trained killer.	这次我站豪尔这边。我们不能和敌人合作。\n在幻象里，就是这个人杀了你，烧毁了瓦利诺斯。\n我知道那是个骗局，但人还是同一个人。他是个训练有素的杀手。
7783	map227_7dc07010	0	char_valessa	For that reason, I can't accept his offer.\nFortaime, you're with me, right...?	正因如此，我无法接受他的提议。\n福泰姆，你跟我一伙的，对吧……？
7784	map227_36a4aff2	0	char_fortaime	I don't know, Valessa. I think everybody deserves a second chance.\nWe all had that \"moment\" when we turned against The Triumvirate.\nWhy is it so hard to believe that Sovy might have that moment?	我不知道，瓦莱莎。我觉得每个人都该有第二次机会。\n我们都有过与三人执政团反目的那个“时刻”。\n为什么就这么难相信索维也可能有那个时刻呢？
7785	map227_0a15979c	0	char_fortaime	He worked so closely with them, he's seen their true nature.\nHe has more knowledge on them than anybody else in our army.\nIt makes sense that he'd come to the same realization as us.	他曾与他们共事得如此密切，见识过他们的真正本性。\n他对他们的了解比我们军队里任何人都多。\n他会和我们一样得出相同结论，这很合理。
7786	map227_cee85b9b	0	char_fortaime	I mean sure, it took a while longer. But that's because he {i}served{/i} them.\nWhen you remove the excuse of \"loyalty\", it can become pretty clear.\nThat's why he didn't fully realize things until they put him in exile.	我是说，确实花了更长时间。但那是因为他曾在{i}效忠{/i}他们。\n当你抛开“忠诚”这个借口，一切就会变得相当清楚。\n所以直到他们把他流放，他才彻底看清了真相。
7787	map227_d343302d	0	char_pro	Yeah, I'm with Fortaime...! Everybody deserves a second chance.\nWe've all been there before. We've all made a wrong decision or two.\nAnd there's no better way to make up for it than doing the right thing.	对，我站福泰姆这边……！每个人都该有第二次机会。\n我们都经历过那种时候。我们都做过一两次错误的决定。\n而弥补它的最好方式，莫过于去做正确的事。
7788	map227_de0db6e4	0	char_ulric	Sovy isn't concerned with doing the \"right thing\".\nHe's a liar, plain and simple. There's no way we can trust him.\nHe'd turn on us the moment we arrived in Balteus. That's a guarantee.	索维根本不在乎做“正确的事”。\n他是个骗子，就这么简单。我们绝不可能信任他。\n我们一到巴尔泰乌斯，他就会反咬我们。这是板上钉钉的。
7789	map227_646a0138	0	char_ulric	Letting him close to us now would only enable him to gather information.\nIf he knows our strategy, he can counter is with The Inquisition when we arrive.\nIt's a death sentence, [firstname]. Don't be foolish. We've come too far to risk this.	现在让他靠近我们，只会让他得以收集情报。\n如果他知道我们的战略，等我们抵达时，他就能协同审判庭反制我们。\n这是死路一条，[firstname]。别犯傻。我们走到这一步太不容易，不能冒这个险。
7790	map227_db5bb02a	0		It seems like my comrades are divided, but with good reason.{w}\nI was hoping for something more unanimous, in any given direction.{w}\nIt was clear that now the pressure, and final decision, rested on my shoulders.	我的同伴们似乎分成了两派，但都有各自的道理。{w}\n我本希望无论哪个方向，大家都能更一致一些。{w}\n显然，现在压力和最终决定都压在了我的肩上。
7791	map227_5ff5d204	0	char_sovy	Well, [firstname]...?	那么，[firstname]……？
7792	map227_676fb92b	0		It was a risk that I was willing to take, for our cause.{w}\nThe information he could offer us would make us so much stronger.{w}\nIf we got suspicious of him before the attack, we could easily outnumber him.	为了我们的事业，我愿意冒这个险。{w}\n他能提供的情报会让我们强大得多。{w}\n如果我们在进攻前对他起疑，我们能轻易压制他。
7793	map227_f57a6c05	0		There was no way that I could take such a risk.{w}\nIf he turned against us, he could destroy our entire cause.{w}\nIt was too risky. If his exile was even real, he'd be stuck with it.	我不可能冒这样的险。{w}\n如果他背叛我们，他可能毁掉我们整个事业。{w}\n太冒险了。就算他的流放是真的，那也是他自作自受。
7794	map227_05c12b0f	0	char_sovy	Very well.	好吧。
7795	map227_c6ad8ec7	0		He takes a few steps back, and rests against the edge of the boat.{w}\nA few minutes later, after everything is said and done, we arrive in Mazeo.{w}\nThe docking process is short, since our Pirate allies are masters of the art.	他后退几步，靠在船舷上。{w}\n几分钟后，一切尘埃落定，我们抵达了马泽奥。{w}\n靠岸过程很短暂，因为我们的海盗盟友是此道高手。
7796	map227_06d0b051	0		Damek steps forward, filling in the silence that overtook our ranks.	达梅克上前一步，打破了笼罩在我们队伍中的沉默。
7797	map227_48f6d348	0	char_damek	Well, this is it — we're ready to attack Balteus.\nEverything we've ever wanted, is finally within our grasp.\nThe voyage will take a day or two, so we can plan on the way.	好了，就是这样——我们准备好进攻巴尔泰乌斯了。\n我们一直渴望的一切，终于近在咫尺。\n航程要一两天，我们可以在路上筹划。
7798	map227_33888d4a	0	char_damek	For now, we need ensure that we leave {i}no{/i} stone unturned.\nVisit with your loved ones, say your goodbyes — because this is it.\nOnce we leave for Balteus, our fates are as good as sealed.	眼下，我们要确保{i}不{/i}留下任何遗漏。\n去看看你们所爱的人，道别吧——因为就是现在了。\n一旦我们出发前往巴尔泰乌斯，我们的命运就几乎已成定局。
7799	map227_05d38a34	0		Howl steps forward, filling in the silence that overtook our ranks.	豪尔上前一步，打破了笼罩在我们队伍中的沉默。
7800	map227_dc59dd01	0	char_howl	Finally, we're ready to attack Balteus.\nThe liberation of Alestia is at least within our reach.\nBalteus is a few days away by sea, so we can plan on the way.	终于，我们准备好进攻巴尔泰乌斯了。\n阿莱斯蒂亚的解放至少已触手可及。\n走海路到巴尔泰乌斯要几天，我们可以在路上筹划。
7801	map227_440ce4c9	0	char_howl	Right now, the preparation you must focus on is that of a goodbye.\nSpend time with your friends, your loved ones — because this is the end.\nOnce we set sail for Balteus, we may never come back. A hard fact to face.	眼下你必须专注准备的，是一场告别。\n去陪陪你的朋友、你爱的人——因为这就是终局了。\n一旦我们起航前往巴尔泰乌斯，或许就再也回不来了。这是难以面对的事实。
7802	map227_c20d7f8a	0		His words are true, but fill the air with tension.{w}\nThe dawn of our final battle was here, and we needed to prepare.{w}\nBut planning the attack was easy. Our true task was accepting our possible death.	他的话不假，却让空气里充满紧张。{w}\n决战的黎明已经到来，我们必须做好准备。{w}\n但筹划进攻是容易的。真正艰难的任务，是接受自己可能战死。
7803	map227_58ffeb83	0		This means saying goodbye, and spending a final day or two with our friends.{w}\nI should use this opportunity to make sure everybody is prepared for the final battle.{w}\nAs the leader, it was my job to ensure that we were all up to the task. No matter what.	这意味着道别，意味着和朋友们度过最后的一两天。{w}\n我该利用这个机会，确保每个人都为决战做好了准备。{w}\n作为领袖，我的职责就是确保我们都能胜任这项任务。无论如何。
7804	map227_55f18d65	0	char_damek	I don't think there's anything left to say.\nFinish up your business, and we'll set sail when [firstname] demands it.\nAct under the assumption that you only have one or two days before departure.	我想没什么好说的了。\n把你的私事处理完，等[firstname]下令我们就起航。\n请按只剩一两天就要出发来安排。
