# dialogue chunk 0011  entries 4001-4400 of 10370
# seq	block	idx	speaker	source	target
4001	map240_d2c8a924	0		He clutches the pendent close to his chest.	他把吊坠紧紧贴在胸前。
4113	map241_68245211	0	char_sovy	I know that we're almost at the end, [firstname].\nIt won't be much longer before we arrive on Baltean soil.\nSo it only makes sense that I show you where everything began.	我知道我们快到终点了，[firstname]。\n再过不久，我们就要踏上巴尔泰乌斯的土地了。\n所以，带你去看看一切开始的地方，也是顺理成章。
4114	map241_c07fb0f4	0		He gestures broadly at everything behind him.	他朝身后的一切大手一挥。
4115	map241_c308e8ee	0	char_sovy	I come from this backwater town. Born and raised.\nIt was wiped off the map after all the villagers were murdered.\nGiven time, it might have even become the fifth nation of Alestia.	我出生在这个穷乡僻壤。生于此，长于此。\n在村民全被杀光之后，它就从地图上被抹去了。\n假以时日，它甚至可能成为阿莱斯提亚的第五个国家。
4116	map241_7c99a6e9	0	char_sovy	But that was long ago, and nobody remembers this place.\nMy parents were in charge of the area. They were incredibly wealthy.\nThey had a force of men working the mines. Cheap labor — and big profits.	但那是很久以前的事了，没人记得这个地方。\n我的父母掌管着这片地区。他们富可敌国。\n他们有一批人在矿场干活。廉价的劳力——和丰厚的利润。
4117	map241_b5a5376c	0		It seems like Sovy was finally opening up to me.{w}\nThat was important. I needed to know that he could be trusted.{w}\nAnd if things went well, his loyalty to our cause would be confirmed.	看来索维终于对我敞开心扉了。{w}\n这很重要。我需要确定他是可以信任的。{w}\n如果一切顺利，他对我们事业的忠诚就能得到证实。
4118	map241_921b259e	0	char_sovy	As their son, they had me oversee all of this labor.\nIt was my job to make sure everybody hit their goals.\nI performed admirably, and put my foot down when needed.	作为他们的儿子，他们让我监管所有这些劳作。\n我的职责就是确保每个人都达成目标。\n我干得很出色，必要时也绝不手软。
4119	map241_aa10e238	0		He walks toward a nearby house, and puts his hand on it.{w}\nTaking a loud breath, I can tell he's reliving unpleasant memories.	他走向附近的一栋房子，把手搭在上面。{w}\n他重重地吸了口气，我看得出他正在重温那些不快的记忆。
4120	map241_0ec7d68b	0	char_sovy	Everything was going well, until the truth came out.\nThe people who raised me weren't my parents. Not even close.\nThey killed my parents while I was an infant, and took over this town.	一切都进展顺利，直到真相大白。\n养育我的人并不是我的父母。差得远了。\n在我还是个婴儿的时候，他们杀了我的父母，霸占了这座小镇。
4121	map241_735c869c	0	char_sovy	Raising me as their own, our relationship was built on a lie.\nI was serving killers, and usurpers. When I found out, I felt nothing but rage.\nThey stole this land — and the lives of its rightful rulers. Such an injustice.	他们把我当作亲生的养大，我们的关系却建立在谎言之上。\n我一直在侍奉凶手和篡位者。得知真相时，我心中只有愤怒。\n他们偷走了这片土地——还有它合法统治者们的性命。如此不公。
4122	map241_aa4035b3	0		The hand he was resting on the house slowly turns into a clenched fist.	他搭在房子上的那只手，慢慢握成了拳。
4123	map241_94c20e40	0	char_sovy	I don't know what came over me, to be honest.\nI killed everybody. My so-called parents, and all the workers.\nI was lied to, by those who swore they loved me. I couldn't take it.	说实话，我不知道自己当时是怎么了。\n我把所有人都杀了。我所谓的父母，还有所有的工人。\n我被那些信誓旦旦说爱我的人欺骗了。我受不了。
4124	map241_77e7e1c4	0	char_sovy	By rule of inheritance, in that moment — this town became mine.\nBut there was nobody else, and I was all by myself. I no longer wanted to live.\nI took myself to the cliff's edge, and thought about throwing myself into the ocean.	依照继承的规矩，就在那一刻——这座小镇归我了。\n但再无他人，只剩我孤身一人。我不想再活下去了。\n我走到悬崖边，想着纵身跳进大海。
4125	map241_6b876e32	0		He turns back to face me, and I can see how sad he really is.	他转回身面对我，我看得出他究竟有多悲伤。
4126	map241_ca6fdd81	0	char_sovy	That's when Ulric found me. He made sure I didn't do anything stupid.\nI don't know how he came across me when he did. I thought it could be providence.\nBut he saved me, and I told him everything. Instead of scolding me, he praised me.	就在这时，乌尔里克找到了我。他确保我没做出什么傻事。\n我不知道他怎么会那么巧遇上我。我以为那是天意。\n但他救了我，我把一切都告诉了他。他没有责备我，反而称赞了我。
4127	map241_602df030	0	char_sovy	I was shocked. I expected to be dragged to the nearest prison.\nBut he took me right to The Triumvirate, and told them my story.\nThat's when they wanted me to become his Apprentice. I accepted.	我很震惊。我以为自己会被拖进最近的监狱。\n但他直接把我带到了三人执政团面前，讲了我的故事。\n就在那时，他们希望我成为他的学徒。我答应了。
4128	map241_7a28f84a	0	char_sovy	My desire for justice was something they wanted on their side.\nBut I no longer fought for my home village. I fought for all of Alestia.\nI swore an oath to them — that I would always fight for the rulers of this world.	他们对正义的渴望，正是他们想要拉拢的。\n但我不再为我的家乡而战。我为整个阿莱斯提亚而战。\n我向他们立下誓言——永远为这个世界的统治者而战。
4129	map241_6e149920	0	char_sovy	At the time, I believed it was them.\nBut learning the truth of The Monarchy? It just opened old wounds.\nI saw The Triumvirate in a new light — much like I saw my so-called parents.	当时，我相信统治者就是他们。\n但得知王室的真相？那只是揭开了旧伤。\n我用全新的眼光看待三人执政团——就像我看待我所谓的父母一样。
4130	map241_39f32e21	0	char_sovy	Once more, the desire for justice rose to the forefront of my mind.\nYou may think my allegiance changed, and that it was a sudden shift — but it's not true.\nI've always fought for the same thing. It's just that sometimes, the tables need a little turning.	对正义的渴望，又一次涌上我心头。\n你可能觉得我的效忠变了，而且变得很突然——但事实并非如此。\n我一直都在为同一件事而战。只是有时候，形势需要一点扭转。
4131	map241_d0e7373d	0		He crosses his arms, and seems to be done talking for now.{w}\nHe leads me further into the village, and I follow — trusting him more.{w}\nWe eventually end up at a large building. One that served as the town hall.	他抱起双臂，看来暂时说完了。{w}\n他带我往村子深处走去，我跟在后面——对他多了几分信任。{w}\n我们最终来到一栋大建筑前。那是昔日的镇政厅。
4132	map241_937b3a6e	0	char_sovy	You may notice the bloodstains. \nBut don't worry. I threw all the bodies off a cliff with Ulric.\nYou won't be seeing anything gruesome, I can assure you.	你可能注意到了那些血迹。\n但别担心。我和乌尔里克把所有尸体都扔下悬崖了。\n我向你保证，你不会看到任何血腥的东西。
4133	map241_a84c6137	0		What an odd way to put my mind at ease.	这安慰人的方式可真够奇怪的。
4134	map241_b3b44b67	0	char_sovy	This is where my parents lived. I was never really allowed in.\nI guess I should stop calling them my parents. They were more like captors.\nI longed to see the world, but I obeyed them out of a feeling of loyalty. I slaved away.	这是我父母住过的地方。我从没真正被允许进去过。\n我想我该别再叫他们父母了。他们更像是把我关起来的人。\n我渴望看看外面的世界，却出于一种忠诚感服从他们。我像奴隶一样干活。
4135	map241_cb75624b	0	char_sovy	Sometimes I'd sneak into my Father's office and peel the stamps off of his letters.\nThey were incoming letters, so it's not like they had any use. I started to collect them.\nI stuck them to my bedroom wall and told myself that one day, I'd go and see those places.	有时我会溜进父亲的办公室，把他信件上的邮票揭下来。\n那些都是寄来的信，所以邮票本来也没什么用处。我开始收集它们。\n我把它们贴在我卧室的墙上，告诉自己总有一天要去看看那些地方。
4136	map241_ad4c8d14	0	char_sovy	One day, I wanted to be free...	有一天，我渴望自由……
4137	map241_64432e71	0		He lets out a loud sigh.	他长叹一声。
4138	map241_a75feed6	0	char_sovy	I thought I was free when The Triumvirate took me in.\nBut it turns out I just traded one form of bondage for another.\nShackles moved from my wrists, to my heart. I don't know which is worse.	三人执政团收留我时，我以为自己自由了。\n但结果我只是用一种束缚换来了另一种束缚。\n镣铐从我的手腕移到了我的心上。我不知道哪一种更糟。
4139	map241_f4e9e590	0		He holds a hand close to his heart.	他把一只手贴近心口。
4140	map241_d5f10d76	0	char_sovy	They pressed the blade against my chest, and gave me some of its power.\nIt allowed me to use it as my own, and gave me what they deemed “eternal life”.\nUlric grew to see this as an awful curse, but I embraced it; and to this day, I still do.	他们把剑按在我的胸口，给了我一部分它的力量。\n那让我能将它当作自己的武器使用，还给了我他们所谓的“永恒生命”。\n乌尔里克渐渐把这视为可怕的诅咒，我却欣然接受；直到今天，我依然如此。
4141	map241_1ba7061e	0	char_sovy	I see myself as a defender. I want to protect the reign of Alestia's true rulers.\nIf The Monarchy is restored to power, I will protect you, — and all of your descendants.\nYou have my word, and you know why I served the enemy. My virtue was simply misplaced.	我把自己看作一名守护者。我想守护阿莱斯提亚真正统治者的王权。\n如果王室重掌权力，我会保护你——以及你所有的后代。\n我说到做到，你也明白我为何曾为敌人效力。我的德行只是用错了地方。
4142	map241_5a89621f	0	char_sovy	But now it rests with you. The true heir to the throne of Alestia.\nAnd that is where it shall remain, as long as I've proven my loyalty to you.\nKnowing everything that you do — do you trust me to protect you in battle?	但现在，它落在你身上。阿莱斯提亚王位的真正继承人。\n只要我向你证明了我的忠诚，它就会一直留在这里。\n既然你知道了这一切——你信得过我在战斗中保护你吗？
4143	map241_02b651d2	0	char_sovy	Thank you very much, Monarch.\nI knew I picked the right way to tell you the truth.\nIf we did this anywhere else, it might've fallen flat.	非常感谢你，君主。\n我就知道，我选对了告诉你真相的方式。\n要是换个地方说，可能就毫无效果了。
4144	map241_93920e39	0		He smiles, and I can tell he's extremely relieved.	他笑了，我看得出他如释重负。
4145	map241_1ea9e71e	0	char_sovy	I needed to get this off my chest before our attack on Balteus.\nNot knowing whether I had your trust — it was too much.\nWe're comrades now, though; and I'm no longer worried.	我需要在进攻巴尔泰乌斯之前把这件事说出来。\n不知道是否得到了你的信任——这让我难以承受。\n不过现在我们已是同伴了；我不再担心。
4146	map241_93a3c18d	0		With that, it seems like our business here is done.{w}\nThe choice to trust me with his past, and confide in me, meant a lot.{w}\nNone of my comrades had to carry their burdens alone. We were in this together.	就这样，我们在这里的事似乎结束了。{w}\n他选择信任我、把过去托付给我，这对我意义重大。{w}\n我的同伴们没有人需要独自背负重担。我们同舟共济。
4147	map241_25c97417	0	char_sovy	Very well. I respect your choice, Monarch.\nAs wrong as it is — it is your mistake to make.\nI can't say I didn't try to win you over. I really did.	好吧。我尊重你的选择，君主。\n无论这有多么错误——那也是你该犯的错。\n我不能说自己没有试着争取过你。我确实试过。
4148	map241_98564de0	0		He lets out a loud sigh, and his shoulders slump down.	他长叹一声，肩膀垂了下来。
4149	map241_2412d014	0	char_sovy	Promise that you'll keep this between us.\nI wouldn't want anybody to... start talking.\nJust do that — and I promise to keep to myself.	答应我，这件事只留在我们之间。\n我不想让任何人……开始议论。\n你只要这么做——我就答应管好自己。
4150	map241_26876d07	0		I nod, agreeing.{w}\nHe confided in me, and I respected that.{w}\nBut as far as trust went, I was still skeptical.	我点头应允。{w}\n他向我吐露了心事，我尊重这一点。{w}\n但说到信任，我仍持怀疑态度。
4151	map241_70e2bff9	0	char_sovy	Let's get back to Mazeo, alright?\nI'm sure there's lots to do before the end.\nThanks for joining me, but I think we need to leave.	我们回马泽奥吧，好吗？\n我相信在终局之前还有很多事要做。\n谢谢你陪我来这一趟，但我想我们该走了。
4152	map241_142a00f9	0		We start walking back the way we came, and head to our boat.{w}\nThis place was wiped off the map — I had no idea that it existed.{w}\nIt makes me wonder just what else this world could be hiding.	我们沿着来路往回走，朝我们的船去。{w}\n这个地方从地图上被抹去了——我根本不知道它还存在。{w}\n这让我不禁去想，这个世界还藏着多少别的东西。
4153	map241_3195dfd2	0		Before we get on the boat, I look back at the town, one last time.{w}\nAfter the war was over, maybe we could rebuid this place, and grow it.{w}\nA new nation, with new rules. If we had the opportunity, we should seize it.	上船之前，我最后回头看了一眼那座小镇。{w}\n等战争结束后，也许我们可以重建这里，让它发展壮大。{w}\n一个全新的国家，全新的规则。如果我们有机会，就该抓住它。
4154	map241_998bab37	0		We start to sail away, and leave this place behind us for now.{w}\nBut I know Sovy better than I did before, and that could only bring good.	我们启航离去，暂时把这里抛在身后。{w}\n但我比以前更了解索维了，这只会是好事。
4155	map241_5afb1741	0		He was carrying a weight on his shoulders, and it was no longer there.	他肩上曾背负着沉重的负担，如今已不复存在。
4156	map177_7bf5b77b	0		As soon as we enter the town square, Ulric motions for all of us to stay close.{w}\nPeople run amok, while others try to peddle their wares, waving us over.{w}\nIt almost seems just like Mazeo, but the products must be different.	我们一走进城镇广场，乌尔里克就打手势让我们都跟紧些。{w}\n人们四处奔走，另一些人则兜售着货物，朝我们挥手招呼。{w}\n这里几乎跟马泽奥一模一样，只是货物想必不同。
4157	map177_a2e41af6	0	char_ulric	Good, the tavern is in the same place.\nIt's just over there, so we'll make it on time.	很好，酒馆还在老地方。\n就在那边，我们能准时赶到。
4158	map177_a0200586	0		He crosses his arms, and looks around the town square.{w}\nThen, he rubs his arm in a way that almost hides his tattoo.{w}\nBut it's too late. I can already see the townspeople staring.	他抱起双臂，环顾着城镇广场。{w}\n接着，他揉着手臂，动作几乎遮住了他的纹身。{w}\n但已经太迟了。我已经看到镇民们在盯着看。
4159	map177_824c2a0d	0		Ulric was definitely hiding something from all of us.{w}\nI'd hate to say he's losing our trust, but he's definitely suspicious.{w}\nNothing he's told me adds up with what the Alarinthians have said.	乌尔里克肯定对我们所有人隐瞒了什么。{w}\n我不想说他在失去我们的信任，但他确实很可疑。{w}\n他告诉我的话，和阿拉林西亚人所说的完全对不上。
4160	map177_b97ecb8d	0		Almost out of fear, it seems that the townspeople avoid us.{w}\nEye contact is as far as we go, leaving us lots of room to maneuver.{w}\nI guess that helps. It'd suck if they all invaded our personal bubble.	镇民们似乎在恐惧之下躲着我们。{w}\n最多只是对视一眼，给我们留出了充足的活动空间。{w}\n我想这样也好。要是他们全挤进我们的私人空间，那才叫难受。
4161	map177_960b9349	0	char_ulric	Let's not waste too much time out here, alright?\nI think we only have a few hours until the ball begins.\nI'll stay here, but feel free to look around for a bit.	我们别在外面浪费太多时间，好吗？\n我想距离舞会开始只剩几个小时了。\n我会待在这儿，不过你们可以随便逛逛。
4162	map177_d0dd23cc	0		Honestly, I expected Alarinthia to be different.{w}\nBut it looks like I'm staring at an alternate version of Mazeo.{w}\nThe only thing that stands out is the architecture, and the heat.	说实话，我本以为阿拉林西亚会不一样。{w}\n但看来我盯着的不过是另一个版本的马泽奥。{w}\n唯一突出的东西是建筑风格，还有那股热浪。
4163	map177_7cd55299	0		That heat...	那股热浪……
4164	map177_2602063e	0		It didn't change one bit when we got to the city.{w}\nHowever, the natives seem used to it, walking around with ease.{w}\nMost of them aren't fully clothed, wearing a getup much like Ulric's.	进了城之后，它一点也没减弱。{w}\n不过当地人似乎习以为常，走起路来从容自在。{w}\n他们大多穿得不多，打扮和乌尔里克差不多。
4165	map177_7c2bdfac	0		I guess it's my fault for expecting something different out of this place.{w}\nBefore we head to the tavern, I decide to look around for a few minutes.{w}\nMaybe it would be a good idea to talk to Ulric as well. He's acting strange.	我猜是我自己不对，不该指望这地方能有什么不同。{w}\n去酒馆之前，我决定先四处看看几分钟。{w}\n也许顺便和乌尔里克谈谈是个好主意。他举止很反常。
4166	click_map178_6_EV006_44be7415	0		It's a book about Sixers — criminals in Alarinthia's past.	这是一本关于“六人帮”的书——阿拉林西亚历史上的罪犯。
4167	click_map178_6_EV006_6cffd2b2	0		I look through the market stalls. There's a few books on display.{w}\nThere's one about \"Sixers\", so I figure I should give it a read.{w}\nThat term has been thrown around recently, and I wanted to learn more.	我翻了翻市场摊位。上面摆着几本书。{w}\n其中一本是关于“六人帮”的，我想我该读一读。{w}\n这个词最近常被提起，我想多了解一些。
4168	click_map178_7_EV007_09b76bfd	0		It's a book about Draycu's reign over Alarinthia.	这是一本关于德雷库统治阿拉林西亚的书。
4169	click_map178_7_EV007_05879e16	0		On top of the crates, rests a book about Draycu's reign.{w}\nPerhaps some young Alarinthians were reading up on him before the ball.{w}\nIt definitely paints a grim picture of the nation. Draycu must be very strong.	箱子上放着一本关于德雷库统治的书。{w}\n也许有些年轻的阿拉林西亚人在舞会前研读他。{w}\n它确实把这个国家描绘得一派阴森。德雷库一定非常强大。
4170	Ulric1_map178_62_0_bf5fce45	0	char_ulric	Hey.	嘿。
4171	Ulric1_map178_62_0_c974864b	0	char_ulric	I have no idea, but it doesn't really matter.\nI'm pretty sure that we could handle whatever they throw at us.\nBut if he truly {i}does{/i} work for Vivien, then we have some good luck.	我不知道，但那也不重要。\n我很确定，不管他们扔给我们什么，我们都能应付。\n但如果他{i}真的{/i}为薇薇安效力，那我们的运气还不错。
4172	Ulric1_map178_62_0_7d549ff8	0	char_ulric	We could use some of that, couldn't we?\nSo for now, I'm going to believe Drakeor. But only for now.\nIf anything seems suspicious at the tavern, I'll tip you off.	我们正需要点好运，不是吗？\n所以眼下，我打算相信德雷克。但只是眼下。\n如果在酒馆里发现任何可疑之处，我会给你通风报信。
4173	Ulric1_map178_62_0_b864e659	0	char_ulric	Although, the prospect of a tavern brawl does sound appealing.\nYou haven't seen true fighting until you've seen it in Alarinthia.\nJust thinking about it gets my blood boiling. It's been too long.	不过，酒馆斗殴这种事听起来倒是挺诱人的。\n你只有在阿拉林西亚见过打斗，才算见识过真正的战斗。\n光是想想就让我热血沸腾。已经太久了。
4174	Ulric1_map178_62_0_1d172e02	0	char_ulric	Of course, I'll try my best to keep our visit a peaceful one.\nI don't want to end up fighting for our freedom in the coliseum.\nTheir methods of punishing prisoners are still pretty harsh.	当然，我会尽力让我们这趟行程平安无事。\n我可不想最后在竞技场里为自由而战。\n他们惩罚囚犯的手段还是相当残酷。
4175	Ulric1_map178_62_0_3aabeee9	0	char_ulric	I hate to talk about this, so I'll try making it quick.\nVivien obviously isn't the first person to rebel against Alarinthia's laws.\nThe first one, at least in recorded history, was named Ulric — like me.	我不喜欢谈这个，所以尽量长话短说。\n薇薇安显然不是第一个反抗阿拉林西亚法律的人。\n至少在有记载的历史上，第一个反抗的人叫乌尔里克——和我同名。
4176	Ulric1_map178_62_0_4b3714f2	0	char_ulric	Many people followed after his ideals, including my parents.\nSo much so, that they decided to name me after him. I don't like it.\nThat's all it is, really. My name is a silly little tribute.	许多人追随他的理想，包括我的父母。\n他们甚至因此决定用他的名字给我命名。我不喜欢这样。\n真的就是这么回事。我的名字不过是种傻气的致敬。
4177	Ulric1_map178_62_0_a1fcf827	0	char_ulric	I guess it doesn't help that I also actually look like him.\nOr at least, all artistic and textual descriptions of him.\nA pretty cool coincidence, but that's all it is.	我想，我自己还真长得像他，这也让事情更糟。\n或者至少，像所有关于他的绘画和文字描述。\n很酷的巧合，但也仅此而已。
4178	Ulric1_map178_62_0_57092d86	0	char_ulric	I knew this stuff would come up as soon as we got here.\nJust remember, you've known me long before this trip.\nDon't come to judge me by the things these people say.	我就知道一到这儿，这些事就会被翻出来。\n记住，你在这趟旅程之前早就认识我了。\n别因为这些人的话就来评判我。
4179	Ulric1_map178_62_0_a9de247b	0	char_ulric	I'd rather not talk about that, right now.\nBut I have a feeling you'll find out soon enough.\nIt's complicated, and we're really short on time.	我现在不太想谈这个。\n但我觉得你很快就会知道的。\n事情很复杂，而且我们时间真的不多。
4180	Ulric1_map178_62_0_b9b47bf0	0	char_ulric	Just trust me, alright? It's nothing bad.\nI earned these — they weren't ripped off.\nLet's grab a drink in the tavern and chat.	相信我就好，行吗？不是什么坏事。\n这些是我挣来的——不是抢来的。\n我们去酒馆喝一杯，聊一聊。
4181	Ulric1_map178_62_0_c4392726	0	char_ulric	That's none of your business. Not yet.\nAgain, just trust me, okay...? Please.\nThere's lots going on that you don't know.	那不关你的事。至少现在还不关。\n再说一次，相信我就好，行吗……？拜托。\n有很多事你都不知道。
4182	Ulric1_map178_62_0_a8df275c	0	char_ulric	That's not to say that you'll never know it.\nJust sit back and wait until the time is right.\nI promise that everything will make sense soon.	我不是说你永远不会知道。\n你只管安心等着，等到时机合适。\n我保证，很快一切就都会说得通了。
4183	Ulric1_map178_62_0_3de6719d	0	char_ulric	Other than the tavern, not really.\nThere's just the market stalls, like Mazeo.\nHowever, there's no laws in place for this stuff.	除了酒馆，还真没什么。\n只有像马泽奥那样的市场摊位。\n不过，这些东西在这里没有法律管制。
4184	Ulric1_map178_62_0_18e92632	0	char_ulric	You can buy whatever you want in Alarinthia.\nPirates make a living bringing illicit goods overseas.\nSo whatever your heart desires, you can probably find.	在阿拉林西亚，你想买什么都能买到。\n海盗靠把违禁品运到海外为生。\n所以你心里想要的东西，大概都能找到。
4185	Ulric1_map178_62_0_b0eaf261	0	char_ulric	But I don't think you're the type of person to want that stuff.\nSo if it's all the same to you, we should probably get to the tavern.\nRemember, we're on a bit of a schedule. Our time is valuable.	但我觉得你不是会想要那种东西的人。\n所以如果你不介意，我们该去酒馆了。\n记住，我们的行程有点紧。时间宝贵。
4186	click_map178_65_EV065_3b5554ca	0		There's tons of vases and jars full of whatever product people are peddling.{w}\nFortaime inspects them with a curiosity that I almost can't describe.{w}\nHowever, Ulric is pretty quick to put that curiosity to an end.	那里堆满了花瓶和罐子，装满了人们兜售的各种货品。{w}\n福泰姆带着一种我几乎无法形容的好奇心打量着它们。{w}\n不过，乌尔里克很快就终结了那份好奇。
4187	click_map178_65_EV065_02f0e86e	0	char_ulric	Hey, cut that out.\nYou have no idea what's in there.\nIt could be drugs, or illegal weapons.	嘿，别碰那个。\n你根本不知道里面装着什么。\n可能是毒品，或是非法武器。
4188	click_map178_65_EV065_b1a00173	0	char_fortaime	There are illegal weapons...?	还有非法武器……？
4189	click_map178_65_EV065_a125fb86	0	char_ulric	Oh, of course. You have to improvise around here.\nYour goal is to always be stronger than everyone else.\nThat requires some creativity, especially in weapon design.	哦，当然。在这地方你得随机应变。\n你的目标就是永远比所有人都强。\n那需要一些创造力，尤其是在武器设计上。
4190	click_map178_65_EV065_d017d9ef	0	char_ulric	The greatsword even originated in Alarinthia.\nYou don't see many people carrying them on the mainland.\nI was raised with it, though — so I can't use anything else.	巨剑甚至就起源于阿拉林西亚。\n在大陆上，你很少见到有人带着它。\n不过我从小就用它——所以别的武器我都用不惯。
4191	click_map178_65_EV065_80e9a8c1	0	char_fortaime	Whoa, that's pretty cool.\nI wonder what I can find, then!	哇，那可真酷。\n那我想想我能找到些什么！
4192	click_map178_65_EV065_1c60c57d	0	char_ulric	What part of illegal don't you understand?\nThere are laws in place to prevent more inhumane creations.\nBut those laws fail to reach places like the town square markets.	“非法”两个字你哪部分听不懂？\n是有法律来防止制造更不人道的东西。\n但那些法律管不到像城镇广场集市这样的地方。
4193	click_map178_65_EV065_c44ff3b0	0	char_ulric	You could touch something laced with poison, or worse.\nJust keep your hands off of this stuff and stay close to me.\nAlways assume that everything here is out to get you.	你可能碰到涂了毒的东西，或者更糟的。\n别碰这些东西，跟紧我。\n永远假设这里的一切都想害你。
4194	click_map178_65_EV065_5bb8eb64	0	char_fortaime	Wow, you make this place sound so luxurious.\nBut alright. I'll do what you say — for now.	哇，你把这里说得可真是奢华。\n不过好吧。我照你说的做——暂时。
4195	click_map178_66_EV066_a667d32c	0		People run around the town square, clearly on a mission.{w}\nIt's more chaotic than Mazeo, and that's definitely saying something.{w}\nValessa stands there, watching everybody intently. She seems very interested.	人们在城镇广场上四处奔忙，显然各有要事。{w}\n这里比马泽奥还要混乱，这可不是随便说说的。{w}\n瓦莱莎站在那里，专注地看着每一个人。她似乎非常感兴趣。
4196	click_map178_66_EV066_fb24f906	0	char_valessa	Is this place always so busy?	这地方总是这么忙碌吗？
4197	click_map178_66_EV066_edb4749d	0	char_ulric	Yeah. It can even get worse.\nThe busy hours are closer to night time.\nBut not tonight, with the ball and all.	是啊。有时候还会更糟。\n最忙的时段接近夜晚。\n但今晚不会，毕竟有舞会。
4198	click_map178_66_EV066_1a48402c	0	char_valessa	Do people live in their market stalls, like Mazeo?	人们像在马泽奥一样，住在自己的摊位里吗？
4199	click_map178_66_EV066_602d48c4	0	char_ulric	No, not really. They get enough business to have their own homes.\nIt's actually the opposite here. Running a stall is a sign of wealth.	不，基本上不是。他们生意够好，都有自己的家。\n在这里其实正相反。经营摊位是财富的象征。
4200	click_map178_66_EV066_72aa3809	0	char_valessa	So the more you work, the more money you make.\nSee, that actually makes sense. Don't you think?	所以你干得越多，赚的钱就越多。\n你看，这其实挺有道理的。你不觉得吗？
4201	click_map178_66_EV066_73176303	0	char_ulric	Yeah, but it doesn't make up for the other shortcomings.\nThe markets are busy, and unsafe. People die all the time.\nIt's a cutthroat culture here, so you're always in danger.	是啊，但这弥补不了其他缺点。\n市场又忙又危险。总是有人丧命。\n这里的风气残酷无情，所以你永远身处险境。
4202	click_map178_66_EV066_fbac58f1	0	char_ulric	If I could choose a place to open up shop, I'd choose Mazeo.\nIt might be harder, and less profitable, but it'd be safe.\nYou wouldn't get caught up in other people's fights.	如果让我选个地方开店，我会选马泽奥。\n可能更难，利润也更少，但至少安全。\n你不会被卷进别人的争斗里。
4203	click_map178_66_EV066_1df07482	0	char_valessa	That happens here?	这里会发生那种事？
4204	click_map178_66_EV066_8857d9d1	0	char_ulric	All the time. It's almost unavoidable.\nYou can't turn around without bumping into anybody here.\nIt gets worse the deeper you go. But we won't go that deep.	经常发生。几乎无法避免。\n在这儿，你一转身都会撞到人。\n越往深处越糟。不过我们不会去那么深。
4205	click_map178_66_EV066_198218c5	0	char_ulric	Of course, the flowing of alcohol doesn't make things easier.\nPeople are always rowdy, looking for some fun, or a fight.\nYou also wouldn't be able to get some peace and quiet.	当然，酒水畅流也让事情更难办。\n人们总是吵吵嚷嚷，寻欢作乐，或者找架打。\n你也别想得到片刻安宁。
4206	click_map178_66_EV066_c4798f50	0	char_valessa	Alright, alright — you win.\nWhy do so many people do it then?\nI mean, set up shop, and put up with that?	好吧好吧——你赢了。\n那为什么还有这么多人做这行？\n我是说，开店，还要忍受这些？
4207	click_map178_66_EV066_41b83a73	0	char_ulric	Probably because they don't know anything else.\nGetting to the mainland is the last thing on their minds.\nWherever you grow up, that's what \"normal\" is to you.	大概是因为他们不知道别的生活方式。\n去大陆是他们最不关心的事。\n你在哪里长大，那里对你来说就是“正常”。
4208	click_map178_66_EV066_624bdeb9	0	char_valessa	I guess that makes sense.\nValinorth is normal to me, and Mazeo is weird.\nBut I bet it'd be the other way around for Damek.	我想这说得通。\n瓦利诺斯对我来说是正常的，马泽奥就很古怪。\n但我打赌对达梅克来说正好相反。
4209	click_map178_66_EV066_64625c54	0	char_ulric	Exactly.	正是如此。
4210	map251_5dc44509	0		I make my way to the docks, happy to see that almost everybody else has done the same.{w}\nOur forces line the entire area. Dozens of ships are ours to command. We stand a real chance.{w}\nMaking my way down the docks, I notice all of our forces talking amongst themselves.	我朝码头走去，很高兴看到几乎其他所有人都已经到了。{w}\n我们的部队排满了整片区域。数十艘船归我们调遣。我们真的有机会。{w}\n一路走过码头，我注意到我们的部队都在彼此交谈。
4211	map251_3f274cac	0		This is the unity that our world needed. The unity that we're fighting for.{w}\nThough not everybody saw eye-to-eye, they could all co-exist with one another.{w}\nThere would be no more oppression for those who thought differently than our rulers.	这就是我们的世界所需要的团结。我们为之奋斗的团结。{w}\n尽管并非所有人意见一致，他们却能彼此共存。{w}\n再也不会有因为想法与统治者不同而遭受的压迫。
4212	map251_3e38292b	0		That is, of course — if we won.	当然——前提是我们赢了。
4213	map251_64639cf3	0		Mylus is nowhere to be seen, but somehow I'm not surprised.{w}\nHe came to Alarinthia and back, and for that I was grateful.{w}\nIt was time for him to rest, and focus on what to do next.	哪里都看不到迈勒斯，但我不知为何并不意外。{w}\n他跟着去了阿拉林西亚又回来，为此我心怀感激。{w}\n该让他休息了，专注于下一步该怎么做。
4214	map251_c74f7bea	0		I notice Sovy helping our forces load supplies onto the boats.{w}\nThe gamble of letting him join our side seems to be paying off.{w}\nI'm certain his help would be invaluable as we entered Balteus.	我注意到索维在帮我们的部队把物资搬上船。{w}\n让他加入我们这一方的这场赌注，看来正在得到回报。{w}\n我确信，在我们进入巴尔泰乌斯时，他的帮助将无比宝贵。
