# dialogue chunk 0013  entries 4801-5200 of 10370
# seq	block	idx	speaker	source	target
4801	map276_1a925121	0	char_damek	Now...! Go!	现在……！快走！
4921	map291_f75d4c20	0		I see Damek shaking hands with the Created Seers.{w}\nGood. They helped us secure the library — and survived.{w}\nThey would be a valuable asset in holding the Town Square.	我看见达梅克在和被造先知们握手。{w}\n很好。他们帮我们拿下了图书馆——而且活了下来。{w}\n守住城镇广场，他们会是宝贵的战力。
4922	map291_7b6f4ea8	0		It was nice to see their full potential finally realized.{w}\nUsing their visions, they outsmarted an entire horde of enemies.{w}\nIt was in this exact moment — that I knew I made the right choice.	看到他们的全部潜能终于得以发挥，真是太好了。{w}\n他们凭借预视，智胜了整整一大群敌人。{w}\n就在这一刻——我知道自己做出了正确的选择。
4923	map291_09aa2bd3	0		One fact stands out to me. The Created Seers are nowhere to be seen.{w}\nThey weren't inside the building either. This means that they had fallen.{w}\nTheir sacrifice led us to safety in The Library, though. They had won.	有一点格外刺眼。被造先知们不见踪影。{w}\n他们也不在建筑里面。这意味着他们倒下了。{w}\n不过，是他们的牺牲让我们安全抵达了图书馆。他们赢了。
4924	map291_003ab065	0		I find myself frightened by the thought. The Seers could see almost all outcomes.{w}\nPerhaps The Triumvirate's desires for \"quantity\" ended up in their favor, after all.{w}\nIf there were enough soldiers, then not even a Seer could cover every angle.	这个念头让我感到恐惧。先知们几乎能看见所有结果。{w}\n也许三人执政团对“数量”的执念终究还是起了作用。{w}\n只要有足够多的士兵，就连先知也无法面面俱到。
4925	map291_c414bae7	0		I see Damek shaking hands with the Monarch Vessels.{w}\nGood. They helped us secure victory — and survived.{w}\nThey would be a valuable asset in holding the Town Square.	我看见达梅克在和君主容器们握手。{w}\n很好。他们帮我们赢得了胜利——而且活了下来。{w}\n守住城镇广场，他们会是宝贵的战力。
4926	map291_2b2f71a3	0		It was nice to see their full potential finally realized.{w}\nWith their incredible resilience, they outsmarted an enemy horde.{w}\nIt was in this exact moment — that I knew I made the right choice.	看到他们的全部潜能终于得以发挥，真是太好了。{w}\n凭着惊人的韧性，他们智胜了一整群敌人。{w}\n就在这一刻——我知道自己做出了正确的选择。
4927	map291_67136b85	0		One fact stands out to me. The Monarch Vessels are nowhere to be seen.{w}\nThey weren't inside the building either. This means that they had fallen.{w}\nTheir sacrifice led us to safety in The Library, though. They had won.	有一点格外刺眼。君主容器们不见踪影。{w}\n他们也不在建筑里面。这意味着他们倒下了。{w}\n不过，是他们的牺牲让我们安全抵达了图书馆。他们赢了。
4928	map291_d1e5f89b	0		A bit of anxiety wells up within me though. How could they have died?{w}\nIt's a frightening thought — that The Honor Guard could kill near-immortals.{w}\nMaybe The Triumvirate's desires for \"quantity\" actually ended in their favor.	不过，一丝焦虑在我心中涌起。他们怎么会死？{w}\n这是个可怕的念头——荣誉卫队竟能杀死近乎不死的存在。{w}\n也许三人执政团对“数量”的执念真的奏效了。
4929	map291_6d77dd5e	0		When I make it to the bottom of the stairs, Damek waves me over.{w}\nOur forces run around, seemingly taking on an infinite number of tasks.{w}\nEverybody is doing something. It made everything seem more \"final\".	我走到台阶底部时，达梅克朝我招手。{w}\n我们的部队四处奔走，仿佛有永远做不完的事。{w}\n每个人都在忙。这让一切都显得更加“最终”。
4930	map291_4e23f1c8	0		I could tell that this was the last time I'd see a lot of these people.{w}\nThere was no way we'd make it through this without any casualties.{w}\nTrying to tune out the final preparations, I make my way to Damek.	我能看出，这会是很多人我最后一次见到他们。{w}\n我们不可能毫发无伤地挺过这一切。{w}\n我努力不去理会最后的准备，走向达梅克。
4931	map291_73cc91df	0	char_damek	Good to see you, [firstname].\nI'm afraid there isn't much time to talk.\nWe can't deny it. The attack has begun.	见到你真好，[firstname]。\n恐怕没多少时间说话了。\n我们无法否认。进攻已经开始了。
4932	map291_0dd80221	0	char_damek	The Honor Guard should realize that we're here momentarily.\nAfter that, this area, and the Town Square, will be a war zone.\nAnybody who has an objective elsewhere, should be leaving.	荣誉卫队很快就会察觉到我们在这里。\n之后，这一带和城镇广场都会变成战场。\n有别的任务在身的人，该出发了。
4933	map291_dedb1765	0		Just as he says that, Pro walks by.{w}\nDamek calls out his name, and he quickly runs over.{w}\nThat's right. He was tasked with causing a distraction in the castle.	他话音刚落，普洛正好走过。{w}\n达梅克喊了他的名字，他很快跑了过来。{w}\n对了。他的任务是在城堡里制造混乱。
4934	map291_594f80ae	0	char_pro	Hey Damek, I was just about to leave.	嘿，达梅克，我正要走了。
4935	map291_ca6a1ee5	0	char_damek	With Gryz too, I presume?	我猜格瑞兹也一起？
4936	map291_cabfb15e	0	char_damek	And you have everything you need?	你需要的东西都齐了吗？
4937	map291_d5c29cb8	0	char_pro	Yes, of course!\nYou know me — I'd never forget anything.\nYou're in for the distraction of a lifetime, [firstname].	当然！\n你了解我——我从不落下任何东西。\n你将看到一生难忘的精彩混乱，[firstname]。
4938	map291_3dfbcd98	0		He smirks at me. A confident, cocky smirk.{w}\nIf he followed through, then I'd find no resistance.{w}\nIt should be smooth sailing when we get to the castle.	他朝我得意地一笑。那是一种自信而张狂的坏笑。{w}\n只要他做到，我就不会遇到什么阻力。{w}\n我们到城堡时应该会一帆风顺。
4939	map291_60d08547	0	char_damek	Hey, Pro.\nBefore you go...	嘿，普洛。\n在你走之前……
4940	map291_59925478	0		He holds out his hand, and it trembles softly.	他伸出手，手微微颤抖着。
4941	map291_42011fc6	0	char_damek	It's been an honor serving with you.\nI hope I see you again after this is over.	能与你共事是我的荣幸。\n希望这一切结束后我还能再见到你。
4942	map291_11de8a43	0		He shakes Damek's hand, with a firm grip.	他握住达梅克的手，握得很紧。
4943	map291_7a8fb897	0	char_pro	Trust me — the pleasure has been all mine.\nAnd I don't plan on dying. Too much writing to do.	相信我——是我的荣幸才对。\n而且我可没打算死。还有太多东西要写。
4944	map291_964f6011	0		The handshake is broken, and they give each other uneasy smiles.{w}\nThe kind of smile that acknowledges they may never see each other again.{w}\nAnd soon after that, Pro is on his way. Off to face his fate directly, and unafraid.	两人松开手，彼此露出不安的微笑。{w}\n那种承认彼此也许再也见不到面的笑。{w}\n不久之后，普洛就上路了。径直去面对自己的命运，毫无畏惧。
4945	map291_f71ddf51	0	char_damek	I guess you should get going too, [firstname].\nDon't worry, I have more protection than I'll ever need.\nOur Rebel Forces, the Created Seers, {i}and{/i} the Draconic Army.	我想你也该出发了，[firstname]。\n别担心，我有的保护远超所需。\n我们的反抗军、被造先知，{i}还有{/i}龙族军队。
4946	map291_93e23e31	0	char_damek	No matter what they throw at us, we'll be able to handle it.\nThe true deciding factor in all of this — is you, and that blade.\nBe careful, rely on your comrades, and you'll win this for sure.	无论他们向我们抛出什么，我们都能应付。\n这一切真正的决定因素——是你，和那把剑。\n小心行事，依靠你的同伴，你一定能赢。
4947	map291_6be5d501	0	char_damek	I guess you should get going too, [firstname].\nDon't worry, I have more protection than I'll ever need.\nAll of our Rebel forces, {i}and{/i} the might of the Draconic Army.	我想你也该出发了，[firstname]。\n别担心，我有的保护远超所需。\n我们所有的反抗军，{i}还有{/i}龙族军队的威势。
4948	map291_a50c4808	0	char_damek	No matter what they throw at us, we'll be able to handle it.\nThe true deciding factor in all of this — is you, and that blade.\nBe careful, rely on your comrades, and you'll win this for sure.	无论他们向我们抛出什么，我们都能应付。\n这一切真正的决定因素——是你，和那把剑。\n小心行事，依靠你的同伴，你一定能赢。
4949	map291_9e7cf8a8	0	char_damek	I guess you should get going too, [firstname].\nDon't worry, I have more protection than I'll ever need.\nOur Rebel Forces, the Monarch Vessels, {i}and{/i} the Draconic Army.	我想你也该出发了，[firstname]。\n别担心，我有的保护远超所需。\n我们的反抗军、君主容器，{i}还有{/i}龙族军队。
4950	map291_53997c77	0	char_damek	No matter what they throw at us, we'll be able to handle it.\nThe true deciding factor in all of this — is you, and that blade.\nBe careful, rely on your comrades, and you'll win this for sure.	无论他们向我们抛出什么，我们都能应付。\n这一切真正的决定因素——是你，和那把剑。\n小心行事，依靠你的同伴，你一定能赢。
4951	map291_6be5d501_1	0	char_damek	I guess you should get going too, [firstname].\nDon't worry, I have more protection than I'll ever need.\nAll of our Rebel forces, {i}and{/i} the might of the Draconic Army.	我想你也该出发了，[firstname]。\n别担心，我有的保护远超所需。\n我们所有的反抗军，{i}还有{/i}龙族军队的威势。
4952	map291_5d88db5f	0	char_damek	No matter what they throw at us, we'll be able to handle it.\nThe true deciding factor in all of this — is you, and that blade.\nBe careful, rely on your comrades, and you'll win this for sure.	无论他们向我们抛出什么，我们都能应付。\n这一切真正的决定因素——是你，和那把剑。\n小心行事，依靠你的同伴，你一定能赢。
4953	map291_ffbfa139	0		He places a hand on my shoulder.	他把一只手搭在我肩上。
4954	map291_a2c5b133	0	char_damek	I know you can do this.\nNow, we just need to cause a distraction.\nAll of those suits should be focusing on {i}me{/i}.	我知道你能做到。\n现在，我们只需要制造混乱。\n那些盔甲全都该把注意力放在{i}我{/i}身上。
4955	map291_7dc37ffd	0	char_damek	If all goes as planned, you should find minimal resistance.\nSave your strength for The Triumvirate. I think you'll need it.\nAnyway — don't worry about me, I'll have Howl by my side.	如果一切按计划进行，你应该不会遇到多少阻力。\n把力气留给三人执政团。我觉得你会用得上的。\n总之——别担心我，豪尔会在我身边。
4956	map291_06a5f669	0		He looks around, confusion worn on his face.	他环顾四周，脸上写满困惑。
4957	map291_5ff2cb1d	0	char_damek	Speaking of which — where {i}is{/i} he...?\nHe should've been out here ages ago.	说到这个——他{i}人{/i}呢……？\n他早该出来了。
4958	map291_e86ef67c	0		Before I can even respond, I hear a loud cracking noise.{w}\nTurning to see the source, I see the door to the Library smashed open.{w}\nAlgus is shoved through, landing face-first on the stone, still tied up.	我还没来得及回答，就听见一声巨响的破裂声。{w}\n转头看去，只见图书馆的大门被撞开了。{w}\n阿尔古斯被推了出来，脸朝下摔在石地上，仍被捆着。
4959	map292_cb5ae876	0		Smoke billows out of the open door as Howl exits The Library.{w}\nAlgus struggles on the ground, squirming like some sort of insect.{w}\nA blaze, as bright as the sun itself, makes Howl look like a silhouette.	豪尔走出图书馆时，浓烟从敞开的门里翻涌而出。{w}\n阿尔古斯在地上挣扎，像只虫子一样扭动。{w}\n一团亮如太阳的火焰，让豪尔看起来如同一道剪影。
4960	map292_9f45692b	0	char_damek	Howl...? What are you doing!?	豪尔……？你在干什么！？
4961	map292_804e5f72	0		Upon hearing Damek, he steps forward, and grips Algus by the hair.{w}\nRaising him to his knees, he looks down in horror at our massive army.{w}\nIt was almost, as if, in that moment — he knew he was on the wrong side.	听到达梅克的声音，他上前一步，抓住阿尔古斯的头发。{w}\n把他拽得跪起来，让他惊恐地俯视我们庞大的军队。{w}\n那一刻，他几乎像是——明白了自己站错了边。
4962	map292_f397d68a	0	char_howl	We've come here to destroy The Triumvirate, and all that they stand for.\nDon't tell us you're backing down, now that the moment is upon us...?	我们来这里，是为了摧毁三人执政团，以及他们所代表的一切。\n你不会是想说，到了这一刻你反而要退缩吧……？
4963	map292_f69fc2e1	0		We all stare in awe as Howl pulls out a dagger, holding it in his free hand.{w}\nThe smoke, and the bright illumination reveal to us one frightening fact.{w}\nHowl had torched the inside, burning the books — and his culture.	我们全都惊愕地看着豪尔抽出一把匕首，握在空着的那只手里。{w}\n浓烟与明亮的火光向我们揭示了一个可怕的事实。{w}\n豪尔点燃了图书馆内部，烧掉了那些书——以及他的文化。
4964	map292_85a1d6b9	0	char_damek	No — of course not...!\nI would never give up when we're so close.\nCome down here Howl. Explain yourself!	不——当然不是……！\n我们如此接近，我绝不会放弃。\n下来，豪尔。给我解释清楚！
4965	map292_ca6858a1	0		Howl shakes his head, disobeying Damek's order.{w}\nRunning the dagger along Algus' throat, he then kicks him down the stairs.{w}\nA trail of blood follows him all the way down, steaming against the cold snow.	豪尔摇了摇头，违抗了达梅克的命令。{w}\n他用匕首划过阿尔古斯的喉咙，然后一脚把他踹下台阶。{w}\n一道血迹一路尾随他向下，在冰冷的雪地上冒着热气。
4966	map292_3fa2b398	0	char_howl	The Monarchy is dead, Damek.\nDo not cling to memories like us. 	王朝已经死了，达梅克。\n别像我们这样抓着回忆不放。
4967	map292_50d442fd	0		He slowly descends the stairs, the crimson dagger dripping blood.{w}\nAs the flames shoot out the front door, Howl's face is finally lit up.{w}\nIt appears devoid of all feeling, even after what he had done.	他缓缓走下台阶，那把绯红的匕首滴着血。{w}\n火焰从前门喷涌而出，豪尔的脸终于被照亮。{w}\n即便刚做了那样的事，那张脸上却毫无表情。
4968	map292_8a3fe0e1	0	char_damek	Howl — stand down...!	豪尔——住手……！
4969	map292_683b8056	0		Damek immediately draws his sword, holding it toward Howl.	达梅克立刻拔剑，指向豪尔。
4970	map292_dcb4cf2e	0	char_howl	Stand down? All we've done is carry out our orders.\nKill The Triumvirate, and their supporters, correct?\nAs their servant, Algus deserves the same fate.	住手？我们所做的不过是执行命令。\n杀掉三人执政团，以及他们的支持者，对吧？\n作为他们的仆从，阿尔古斯活该有同样的下场。
4971	map292_359d81d3	0		Damek's arm trembles, realizing Howl was right.	达梅克的手臂颤抖着，意识到豪尔说得没错。
4972	map292_82fbc6aa	0	char_howl	And we needed a beacon to lure The Honor Guard to the square.\nA beacon — that no matter how hard they try — they cannot put out.\nBurning The Library made sense. They are not permitted inside.	而且我们需要一个灯塔，把荣誉卫队引到广场来。\n一个灯塔——无论他们怎么努力，都无法扑灭。\n烧掉图书馆是合理的。他们不被允许进入里面。
4973	map292_24845ef2	0	char_howl	Do not mourn for what has already been lost, Damek.\nThe Honor Guard will be here in just a few moments.\nPreparing your army would be a much better action.	别为已经失去的东西哀悼，达梅克。\n荣誉卫队马上就会到了。\n去准备好你的军队才是更该做的事。
4974	map292_81ba2fb6	0		Howl throws the dagger onto the ground.	豪尔把匕首扔到地上。
4975	map292_b2bc6d36	0	char_howl	The battle for Alestia has begun.	阿拉斯蒂亚之战已经打响。
4976	map292_cd1664c9	0		Damek lowers his sword, letting out a loud sigh.{w}\nHowl was right. Algus served the enemy — making him an enemy.{w}\nAnd the beacon was paramount to our success. It could {i}not{/i} be put out.	达梅克放下剑，长叹一声。{w}\n豪尔说得对。阿尔古斯为敌人效力——那他就是敌人。{w}\n而那座灯塔对我们的成功至关重要。它{i}绝不能{/i}被扑灭。
4977	map292_9aee8302	0	char_damek	I don't believe this...	我真不敢相信……
4978	map292_cf79caed	0		Howl finally makes it to our location, and stands beside us.{w}\nHe shrugs — almost like this isn't a big deal at all.	豪尔终于来到我们所在的位置，站在我们身旁。{w}\n他耸耸肩——仿佛这根本算不了什么。
4979	map292_cbd8d222	0	char_howl	Drastic measures must be taken in order to ensure our victory.\nThe writing of a long dead culture is a small price to pay.\nYou should be on your way, [firstname]. The time is now.	为了确保胜利，必须采取极端手段。\n一个早已消亡的文化的文字，只是小小的代价。\n你该出发了，[firstname]。就是现在。
4980	map292_f1643cf6	0		He's right. I had to make my way to the castle.{w}\nIf I used the Mountain Pass, I should find little resistance.{w}\nEvery suit of armor would soon be on their way to The Library.	他说得对。我得赶往城堡。{w}\n如果我走山道，应该不会遇到多少阻力。{w}\n所有盔甲很快就会赶去图书馆。
4981	map292_4c06fb09	0	char_howl	Do not forget Sovy, either.\nHe volunteered to accompany your group.\nMake use of the knowledge he has on Balteus.	也别忘记索维。\n他自愿随你们这一组同行。\n好好利用他对巴尔泰乌斯的了解。
4982	map292_4e5d9b0d	0	char_howl	Do not forget your comrades, either.\nThe success of your group will determine everything.\nDo not waver. Do not falter. Your rule hangs in the balance.	也别忘记你的同伴们。\n你们这一组的成败将决定一切。\n不要动摇。不要迟疑。你的统治悬于一线。
4983	map292_fd04b648	0		I nod. This was happening so fast, but I could waste no time.{w}\nWe knew this was coming. We knew we'd have to take action.{w}\nI start to walk away, but Damek calls out to me a moment later.	我点头。这一切发生得太快，但我一刻也不能浪费。{w}\n我们知道这终将到来。我们知道必须采取行动。{w}\n我转身要走，但片刻后达梅克叫住了我。
4984	map292_76e8124b	0	char_damek	Hey — be careful, okay...?\nI want to see you there when we regroup in the atrium.\nAnd if all goes as planned, you'll be seeing {i}me{/i} there, too.	嘿——小心点，好吗……？\n等我们在中庭会合时，我想看到你也在那儿。\n如果一切顺利，你也会在那儿见到{i}我{/i}。
4985	map292_f094dc28	0		I smile, and nod. That would have to suffice as a goodbye.{w}\nAfter I gather up Valessa, Ulric, Fortaime and Sovy, we head out.{w}\nIf we hurried, we could get through the Town Square before the suits came.	我笑着点头。这就当作告别吧。{w}\n我召集了瓦莱莎、乌尔里克、福泰姆和索维，我们一起出发。{w}\n如果抓紧时间，我们能在那些盔甲赶来前穿过城镇广场。
4986	map292_50d169b5	0		I smile, and nod. That would have to suffice as a goodbye.{w}\nAfter I gather up Valessa, Ulric and Fortaime — we decide to head out.{w}\nIf we hurried, we could get through the Town Square before the suits came.	我笑着点头。这就当作告别吧。{w}\n我召集了瓦莱莎、乌尔里克和福泰姆——我们决定出发。{w}\n如果抓紧时间，我们能在那些盔甲赶来前穿过城镇广场。
4987	map292_fa2d5187	0		In our haste, we say almost no words to one another.{w}\nThere was a silent agreement that the task at hand was more important.{w}\nIn knowing that any word could be our last — silence seemed more appropriate.	匆匆之间，我们几乎谁也没对谁说话。{w}\n彼此心照不宣：眼前的要紧事更重要。{w}\n知道任何一句话都可能是最后一句话——沉默反而更合适。
4988	map293_0d893a0d	0		Halin knelt before his Masters, more eager to serve than he had ever been before.{w}\nHe looked up at them, awaiting their orders. Perhaps the final orders they'd give.{w}\nIt would be up to him to lead The Honor Guard, and ensure their victory today.	哈林跪在主人面前，从没有像此刻这样渴望效命。{w}\n他抬头望向他们，等待命令。也许是他们下的最后命令。{w}\n指挥荣誉卫队、确保他们今日取胜的重任，将落在他肩上。
4989	map293_1ff362ca	0	char_the_triumvirate	Rise, Halin.\nIt seems they seek to deceive us.\nBut it's nothing we haven't seen before.	起来吧，哈林。\n看来他们想欺骗我们。\n但这我们见多了。
4990	map293_a701636b	0	char_halin	Deception...?\nThat seems to be their strength.\nWhat will you have me do, Masters?	欺骗……？\n那似乎正是他们的强项。\n主人，您要我怎么做？
4991	map293_af71700d	0	char_the_triumvirate	Man the atrium. Stay in the castle.\nWe shall let them exhaust their forces for now.\nWhen they come here, you can finish them off.	守住中庭。留在城堡里。\n暂且让他们耗尽兵力。\n等他们来到这里，你就可以将他们一网打尽。
4992	map293_1c8471be	0	char_halin	You mean to fall into their trap...?	您是说，要落入他们的陷阱……？
4993	map293_1a195d78	0	char_the_triumvirate	Doing so would make it {i}our{/i} trap, Halin.\nBesides, their deaths will feed the blade even more.\nWe need it as strong as possible when it is brought back to us.	那样一来，那就会变成{i}我们的{/i}陷阱，哈林。\n再说，他们的死会让那把剑变得更加强大。\n当它被带回我们手中时，我们需要它尽可能地强。
4994	map293_923087b0	0	char_halin	For what reason?	为了什么？
4995	map293_04cea722	0	char_the_triumvirate	Do you doubt us...?	你在怀疑我们……？
4996	map293_1e364220	0	char_halin	No, of course not.\nI was merely curious — that's all.	不，当然不是。\n我只是好奇——仅此而已。
4997	map293_6568ff57	0	char_the_triumvirate	Then your curiosity will have to linger.\nYou have your orders, Halin. Now see them out.\nIn a few hours, everything should be over for good.	那你的好奇心就只能搁着了。\n命令已经下达，哈林。去执行吧。\n几个小时后，一切都该彻底结束了。
4998	map293_eb423525	0		Halin wondered — but for what side...?	哈林心中暗自揣测——可究竟是哪一方会终结呢……？
4999	map293_fc54571b	0	char_halin	Yes — whatever you say.\nWhen they arrive in the atrium? Consider them dead.\nI will paint the walls with their blood, or else besmirch them with my own.	是——您怎么说都行。\n等他们来到中庭？就当他们已经死了。\n我要用他们的血涂满墙壁，否则就用我自己的血来玷污它。
5000	map293_6002daee	0	char_the_triumvirate	Thank you Halin. Now be on your way.\nWe will send The Honor Guard to the Town Square to weaken them.\nThere is no time to waste. The end of everything is upon us.	谢谢你，哈林。现在就出发吧。\n我们会派荣誉卫队去城镇广场削弱他们。\n没时间可浪费了。万物的终局已经降临。
5001	map293_0612377b	0		Without a word, Halin is off on his way.{w}\nIn this moment, he truly became The Grand Inquisitor.{w}\nLast line of defense between The Triumvirate and a weak insurrection.	哈林一言不发地上路了。{w}\n在这一刻，他真正成为了大审判官。{w}\n三人执政团与一场微弱叛乱之间的最后一道防线。
5002	map293_9189447c	0	char_the_triumvirate	The end? Or perhaps, another new beginning...\nSteel yourselves, brothers. You know what's coming.	终结？又或者，是另一个新的开始……\n振作起来，兄弟们。你们知道即将到来的是什么。
5003	map293_01d3c112	0		They all look at each other, and nod.{w}\nFor the first time in ages, doubt fills their chambers.{w}\nThankfully, nobody was there to witness such a fault.	他们彼此对视，点了点头。{w}\n许久以来第一次，疑虑充满了他们的议事厅。{w}\n幸好，无人目睹这样的破绽。
5004	map294_d7e613ba	0		Pro and Gryz enter The Triumvirate's castle, careful not to attract attention.{w}\nThe staircase in the middle is the one that led to their chambers, for sure.{w}\nThis meant they'd have to lure The Honor Guard off to the left or right side.	普洛和格瑞兹进入三人执政团的城堡，小心不引人注意。{w}\n中间那道楼梯无疑是通往他们议事厅的。{w}\n这就意味着他们得把荣誉卫队引到左侧或右侧去。
5005	map294_c8231412	0		Paths on either side of the stairs lead to other sections of the castle.{w}\nIf Pro had to guess, he'd say that they led to living quarters, or practice rooms.{w}\nMuch to their luck, a horde of Honor Guard was gathered at the base of the stairs.	楼梯两侧的通道通往城堡的其他区域。{w}\n如果让普洛猜，他会说那些是通往起居室或练武场的。{w}\n幸运的是，楼梯底部聚集着一大群荣誉卫队。
5006	map294_166d1820	0	char_pro	Alright, alright.\nHow can we lure them away...?\nThink Pro, think. You can do this!	好，好。\n我们怎样才能把他们引开……？\n想想，普洛，想想。你能行！
5007	map294_1ab365c8	0	char_jit_map251_1_0_130	Not so loud, Pro.\nWe need a plan {i}before{/i} they find us.\nLet's look for something we can use as a distraction.	小声点，普洛。\n我们得在被他们发现{i}之前{/i}想好计划。\n找找有什么能用来制造混乱的东西。
5008	map294_006c19f8	0		Pro examines the area, noticing large metallic stands holding lit candles.{w}\nThat would be sure to cause a distraction. But how would he use it...?{w}\nHis eyes are drawn to large stained-glass windows lining the hall.	普洛打量着这一带，注意到几个托着点燃蜡烛的大型金属烛台。{w}\n那肯定能制造混乱。但他要怎么利用呢……？{w}\n他的目光被走廊两旁巨大的彩绘玻璃窗吸引过去。
5009	map294_89f2075a	0	char_pro	Hmm. That'll have to do.\nCome on Gryz, let's do this already.\nHopefully [firstname] isn't too far behind.	嗯。只能这样了。\n来吧格瑞兹，我们动手吧。\n希望[firstname]别落后太多。
5010	map294_0cb773bf	0		He starts moving toward the candleholders, but Gryz grabs his shoulder.	他朝烛台走去，但格瑞兹抓住了他的肩膀。
5011	map294_1c7c4b03	0	char_jit_map251_1_0_130	No — not that side.\nIt leads to the dining hall, and a dead end.\nYou'd only be signing your own death warrant.	不——不是那边。\n那边通往餐厅，是条死路。\n你那是给自己签死亡判决书。
5012	map294_e49a72fe	0		Pro nods without a word, and they make their way to the other side of the room.{w}\nThey both grab one of the stands, and shake off the candle on the other end.{w}\nIt hits the ground, and the wax shatters in almost every possible direction.	普洛一言不发地点头，两人走向房间的另一侧。{w}\n他们各抓住一个烛台，把另一端的蜡烛抖落。{w}\n蜡烛落地，蜡几乎朝四面八方碎裂飞散。
5013	map294_d622cf9c	0	char_pro	Hey — over here...!	嘿——这边……！
5014	map294_83f4af67	0		In unison, both Pro and Gryz start breaking the windows with their \"weapons\".{w}\nThe Honor Guard takes notice immediately, and starts sauntering over.{w}\nPro grins, laughing softly at how easily it was to distract the suits.	普洛和格瑞兹同时用他们的“武器”开始砸窗。{w}\n荣誉卫队立刻注意到了，开始慢悠悠地走过来。{w}\n普洛咧嘴一笑，轻声笑着——引开那些盔甲竟这么容易。
5015	map294_7904e616	0	char_pro	Perfect. Now we just need to make a trail.\nCome on! Don't let us get away...!	完美。现在我们只需要留下一道痕迹。\n来啊！别让我们跑了……！
5016	map294_fabb11a9	0		They run down the hallway, shattering window after window.{w}\nA trail of broken glass is left behind for the suits to follow after.{w}\nHowever, they move slow on purpose, keeping an eye on the horde.	他们沿着走廊奔跑，砸碎一扇又一扇窗户。{w}\n身后留下一道碎玻璃的痕迹，供那些盔甲循迹追来。{w}\n不过他们故意放慢脚步，留意着那群追兵。
5017	map294_caa5dc11	0		Pro enters The Triumvirate's castle, careful not to gather unwanted attention.{w}\nThe staircase in the middle is the one that led up to their chambers, for sure.{w}\nThis meant he'd have to lure The Honor Guard off to the left or right side.	普洛进入三人执政团的城堡，小心不引来不必要的注意。{w}\n中间那道楼梯无疑是通往他们议事厅的。{w}\n这就意味着他得把荣誉卫队引到左侧或右侧去。
5018	map294_ac30e105	0		Paths on either side of the stairs lead to other sections of the castle.{w}\nIf he had to guess, he'd say that they led to living quarters, or practice rooms.{w}\nMuch to his luck, a horde of Honor Guard was gathered at the base of the stairs.	楼梯两侧的通道通往城堡的其他区域。{w}\n如果让他猜，他会说那些是通往起居室或练武场的。{w}\n幸运的是，楼梯底部聚集着一大群荣誉卫队。
5019	map294_d1bf71dc	0	char_pro	Alright, alright.\nHow can I lure them away...?\nThink Pro, think. You can do this.	好，好。\n我怎样才能把他们引开……？\n想想，普洛，想想。你能行。
5020	map294_48d4996d	0		He examines the area, noticing large metallic stands holding lit candles.{w}\nThat would be sure to cause a distraction. But how would he use it...?{w}\nHis eyes are drawn to large stained-glass windows lining the hall.	他打量着这一带，注意到几个托着点燃蜡烛的大型金属烛台。{w}\n那肯定能制造混乱。但他要怎么利用呢……？{w}\n他的目光被走廊两旁巨大的彩绘玻璃窗吸引过去。
5021	map294_1a0fa7c1	0	char_pro	Hmm. That'll have to do.\nHopefully [firstname] isn't too far away.\nI won't be able to keep them occupied forever.	嗯。只能这样了。\n希望[firstname]别离得太远。\n我可没法永远拖住他们。
5022	map294_11eb704d	0		Pro grabs one of the metallic stands, and shakes off the candle.{w}\nIt falls to the ground, the wax shattering in almost every direction.{w}\nWasting no time, he causes as big of a commotion as he can.	普洛抓起一个金属烛台，抖落蜡烛。{w}\n蜡烛落到地上，蜡几乎朝四面八方碎裂飞散。{w}\n他一刻也不耽搁，尽可能闹出最大的动静。
5023	map294_a46a194e	0	char_pro	Hey, over here...!	嘿，这边……！
5024	map294_7c1edd9b	0		He shatters one of the windows by thrusting the candleholder through it.{w}\nThe Honor Guard looks over and immediately begins walking toward Pro.{w}\nWith a quick smirk, he laughs at how easily he was able to carry out his goal.	他把烛台狠狠捅进一扇窗户，将其砸碎。{w}\n荣誉卫队看过来，立刻开始朝普洛走去。{w}\n他嘴角一挑，笑着——目标达成得竟如此轻而易举。
5025	map294_ba75d669	0	char_pro	Perfect. Now, just to make a trail.\nCome on! Don't let me get away...!	完美。现在，只要留下痕迹就行。\n来啊！别让我跑了……！
5026	map294_40b60f0a	0		He runs down the hallway, shattering window after window.{w}\nA trail of broken glass is left behind for the suits to follow after.{w}\nHowever, he moves slow on purpose, keeping an eye on the horde.	他沿着走廊奔跑，砸碎一扇又一扇窗户。{w}\n身后留下一道碎玻璃的痕迹，供那些盔甲循迹追来。{w}\n不过他是故意放慢脚步，留意着那群追兵。
5027	map295_2d3a7408	0		Howl and Damek stand side by side in the Town Square of Balteus.{w}\nThey can hear the sound of The Honor Guard marching to their location.{w}\nEchoes of steel grating against steel assault their ears as they wait.	豪尔和达梅克并肩站在巴尔泰乌斯的城镇广场上。{w}\n他们能听见荣誉卫队朝他们所在之处行进的脚步声。{w}\n等候之际，钢铁与钢铁摩擦的回响刺痛着他们的耳朵。
5028	map295_d6df71e8	0	char_damek	How many do you think there are?	你觉得有多少？
5029	map295_a05288f0	0	char_howl	Not enough.	不够多。
5030	map295_62d2cd03	0	char_damek	Well, at least you're confident.	好吧，至少你很有自信。
